frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = true
21449,277.54645,711.3711,183.0,-159.0,274.0,733.0,60.023132,363293.0,,,,
21450,278.0929,710.7422,183.0,-159.0,274.0,732.0,59.902702,363310.0,,,,
21451,278.63934,710.1133,183.0,-159.0,274.0,731.0,59.644817,363329.0,,,,
21452,279.1858,709.4844,183.0,-159.0,274.0,731.0,59.74993,363345.0,,,,
21453,279.73224,708.85547,183.0,-159.0,274.0,730.0,59.76967,363362.0,,,,
21454,280.2787,708.22656,183.0,-159.0,274.0,730.0,59.81364,363378.0,,,,
21455,280.82513,707.59766,183.0,-159.0,274.0,729.0,60.236465,363392.0,,,,
21456,281.37158,706.96875,183.0,-159.0,274.0,729.0,60.144306,363409.0,,,,
21457,281.91803,706.33984,183.0,-159.0,274.0,728.0,59.75196,363428.0,,,,
21458,282.46448,705.71094,183.0,-159.0,274.0,727.0,60.061092,363443.0,,,,
21459,283.01093,705.08203,183.0,-159.0,274.0,727.0,59.821014,363461.0,,,,
21460,283.55737,704.4531,183.0,-159.0,274.0,726.0,60.28199,363475.0,,,,
21461,284.10382,703.8242,183.0,-159.0,275.0,726.0,59.686214,363495.0,,,,
21462,284.65027,703.1953,183.0,-159.0,275.0,725.0,59.96437,363510.0,,,,
21463,285.19672,702.5664,183.0,-159.0,275.0,724.0,60.120247,363526.0,,,,
21464,285.74316,701.9375,183.0,-159.0,275.0,724.0,60.190704,363542.0,,,,
21465,286.2896,701.3086,183.0,-159.0,275.0,723.0,60.15061,363559.0,,,,
21466,286.83606,700.6797,183.0,-159.0,275.0,723.0,59.60452,363579.0,,,,
21467,287.3825,700.0508,183.0,-159.0,275.0,722.0,59.895912,363594.0,,,,
21468,287.92896,699.4219,183.0,-159.0,275.0,721.0,59.957832,363610.0,,,,
21469,288.4754,698.79297,183.0,-159.0,275.0,721.0,60.110676,363626.0,,,,
21470,289.02185,698.16406,183.0,-159.0,275.0,720.0,59.854862,363644.0,,,,
21471,289.5683,697.53516,183.0,-159.0,276.0,719.0,59.84085,363661.0,,,,
21472,290.11475,696.90625,183.0,-159.0,276.0,719.0,60.1463,363676.0,,,,
21473,290.6612,696.27734,183.0,-159.0,276.0,718.0,60.242466,363692.0,,,,
21474,291.20764,695.64844,183.0,-159.0,276.0,718.0,59.791092,363712.0,,,,
21475,291.7541,695.01953,183.0,-159.0,276.0,717.0,60.105312,363726.0,,,,
21476,292.30054,694.3906,183.0,-159.0,276.0,716.0,60.21117,363742.0,,,,
21477,292.847,693.7617,183.0,-159.0,276.0,716.0,60.15426,363759.0,,,,
21478,293.39343,693.1328,183.0,-159.0,276.0,715.0,59.92006,363777.0,,,,
21479,293.93988,692.5039,183.0,-159.0,277.0,715.0,60.22289,363792.0,,,,
21480,294.48633,691.875,183.0,-159.0,277.0,714.0,59.68011,363812.0,,,,
21481,295.03278,691.2461,183.0,-159.0,277.0,713.0,59.949375,363827.0,,,,
21482,295.57922,690.6172,183.0,-159.0,277.0,713.0,59.840687,363844.0,,,,
21483,296.12567,689.9883,183.0,-159.0,277.0,712.0,60.17598,363859.0,,,,
21484,296.67212,689.3594,183.0,-159.0,277.0,711.0,60.068764,363876.0,,,,
21485,297.21857,688.73047,183.0,-159.0,277.0,711.0,60.206318,363892.0,,,,
