frame,x,y,IOIx,IOIy,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = false
539,0.01,0.01,10000.0,10000.0,60.107124,14633.0,,,,
540,0.02,0.02,10000.0,10000.0,59.13683,14643.0,,,,
541,0.03,0.03,10000.0,10000.0,58.923203,14658.0,,,,
542,0.04,0.04,10000.0,10000.0,58.948235,14674.0,,,,
543,0.049999997,0.049999997,10000.0,10000.0,59.00952,14690.0,,,,
544,0.059999995,0.059999995,10000.0,10000.0,59.286316,14706.0,,,,
545,0.06999999,0.06999999,10000.0,10000.0,59.08993,14724.0,,,,
546,0.07999999,0.07999999,10000.0,10000.0,59.304367,14740.0,,,,
547,0.08999999,0.08999999,10000.0,10000.0,59.186913,14757.0,,,,
548,0.09999999,0.09999999,10000.0,10000.0,59.410404,14772.0,,,,
549,0.109999985,0.109999985,10000.0,10000.0,59.349586,14790.0,,,,
550,0.11999998,0.11999998,10000.0,10000.0,59.370106,14806.0,,,,
551,0.12999998,0.12999998,10000.0,10000.0,59.12661,14825.0,,,,
552,0.13999999,0.13999999,10000.0,10000.0,59.173397,14842.0,,,,
553,0.14999999,0.14999999,10000.0,10000.0,59.61569,14856.0,,,,
554,0.16,0.16,10000.0,10000.0,59.052837,14876.0,,,,
555,0.17,0.17,10000.0,10000.0,59.619404,14889.0,,,,
556,0.18,0.18,10000.0,10000.0,59.34213,14907.0,,,,
557,0.19000001,0.19000001,10000.0,10000.0,59.6931,14923.0,,,,
558,0.20000002,0.20000002,10000.0,10000.0,59.587406,14939.0,,,,
559,0.21000002,0.21000002,10000.0,10000.0,59.44473,14957.0,,,,
560,0.22000003,0.22000003,10000.0,10000.0,59.52652,14973.0,,,,
561,0.23000003,0.23000003,10000.0,10000.0,59.40921,14992.0,,,,
562,0.24000004,0.24000004,10000.0,10000.0,59.651268,15007.0,,,,
563,0.25000003,0.25000003,10000.0,10000.0,59.443188,15025.0,,,,
564,0.26000002,0.26000002,10000.0,10000.0,59.74126,15040.0,,,,
565,0.27,0.27,10000.0,10000.0,59.831154,15056.0,,,,
566,0.28,0.28,10000.0,10000.0,59.689587,15073.0,,,,
567,0.29,0.29,10000.0,10000.0,59.461098,15091.0,,,,
568,0.29999998,0.29999998,10000.0,10000.0,59.961086,15105.0,,,,
569,0.30999997,0.30999997,10000.0,10000.0,59.934242,15122.0,,,,
570,0.31999996,0.31999996,10000.0,10000.0,59.96724,15139.0,,,,
571,0.32999995,0.32999995,10000.0,10000.0,59.42447,15158.0,,,,
572,0.33999994,0.33999994,10000.0,10000.0,59.75727,15173.0,,,,
573,0.34999993,0.34999993,10000.0,10000.0,59.822857,15189.0,,,,
574,0.35999992,0.35999992,10000.0,10000.0,59.64647,15207.0,,,,
575,0.36999992,0.36999992,10000.0,10000.0,59.650307,15224.0,,,,
576,0.3799999,0.3799999,10000.0,10000.0,60.044548,15239.0,,,,
577,0.3899999,0.3899999,10000.0,10000.0,59.66005,15258.0,,,,
578,0.3999999,0.3999999,10000.0,10000.0,60.033775,15272.0,,,,
579,0.40999988,0.40999988,10000.0,10000.0,59.911373,15290.0,,,,
580,0.41999987,0.41999987,10000.0,10000.0,60.039455,15306.0,,,,
581,0.42999986,0.42999986,10000.0,10000.0,59.53228,15326.0,,,,
582,0.43999985,0.43999985,10000.0,10000.0,59.966545,15339.0,,,,
583,0.44999984,0.44999984,10000.0,10000.0,59.883358,15357.0,,,,
584,0.45999983,0.45999983,10000.0,10000.0,59.64613,15375.0,,,,
585,0.46999982,0.46999982,10000.0,10000.0,59.962368,15389.0,,,,
586,0.4799998,0.4799998,10000.0,10000.0,59.57608,15409.0,,,,
587,0.4899998,0.4899998,10000.0,10000.0,60.052494,15422.0,,,,
588,0.4999998,0.4999998,10000.0,10000.0,59.639996,15442.0,,,,
589,0.5099998,0.5099998,10000.0,10000.0,59.968346,15456.0,,,,
590,0.5199998,0.5199998,10000.0,10000.0,59.726154,15474.0,,,,
591,0.5299998,0.5299998,10000.0,10000.0,59.790325,15491.0,,,,
592,0.5399998,0.5399998,10000.0,10000.0,59.740555,15509.0,,,,
593,0.5499998,0.5499998,10000.0,10000.0,59.926407,15524.0,,,,
594,0.55999976,0.55999976,10000.0,10000.0,60.04498,15539.0,,,,
595,0.56999975,0.56999975,10000.0,10000.0,60.042168,15556.0,,,,
596,0.57999974,0.57999974,10000.0,10000.0,60.10949,15573.0,,,,
597,0.58999974,0.58999974,10000.0,10000.0,60.031925,15590.0,,,,
598,0.5999997,0.5999997,10000.0,10000.0,59.73831,15608.0,,,,
599,0.6099997,0.6099997,10000.0,10000.0,60.139862,15622.0,,,,
600,0.6199997,0.6199997,10000.0,10000.0,59.607117,15642.0,,,,
601,0.6299997,0.6299997,10000.0,10000.0,60.01186,15656.0,,,,
602,0.6399997,0.6399997,10000.0,10000.0,59.605846,15676.0,,,,
603,0.6499997,0.6499997,10000.0,10000.0,60.084576,15690.0,,,,
604,0.65999967,0.65999967,10000.0,10000.0,59.79557,15708.0,,,,
605,0.66999966,0.66999966,10000.0,10000.0,59.97139,15724.0,,,,
606,0.67999965,0.67999965,10000.0,10000.0,60.0693,15740.0,,,,
607,0.68999964,0.68999964,10000.0,10000.0,59.6713,15759.0,,,,
