frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1920,H = 1080,taps = 2
80811,1623.5917,436.94418,169.0,-1792.0,1627.0,415.0,59.875217,1348777.0,,,
80812,1624.1833,436.88837,169.0,-1792.0,1627.0,416.0,59.66176,1348795.0,,,
80813,1624.775,436.83255,169.0,-1792.0,1627.0,416.0,60.16236,1348809.0,,,
80814,1625.3667,436.77673,169.0,-1792.0,1627.0,417.0,60.097042,1348827.0,,,
80815,1625.9584,436.72092,169.0,-1792.0,1627.0,418.0,60.042187,1348843.0,,,
80816,1626.55,436.6651,169.0,-1792.0,1627.0,418.0,60.008564,1348859.0,,,
80817,1627.1417,436.60928,169.0,-1792.0,1626.0,419.0,60.117527,1348875.0,,,
80818,1627.7334,436.55347,169.0,-1792.0,1626.0,419.0,60.086063,1348892.0,,,
80819,1628.3251,436.49765,169.0,-1792.0,1626.0,420.0,60.061848,1348909.0,,,
80820,1628.9167,436.44183,169.0,-1792.0,1626.0,421.0,60.202198,1348925.0,,,
80821,1629.5084,436.38602,169.0,-1792.0,1626.0,421.0,59.93497,1348945.0,,,
80822,1630.1001,436.3302,169.0,-1792.0,1626.0,422.0,59.225697,1348965.0,,,
80823,1630.6918,436.27438,169.0,-1792.0,1626.0,423.0,60.154938,1348975.0,,,
80824,1631.2834,436.21857,169.0,-1792.0,1626.0,423.0,59.982292,1348994.0,,,
80825,1631.8751,436.16275,169.0,-1792.0,1626.0,424.0,59.06447,1349015.0,,,
80826,1632.4668,436.10693,169.0,-1792.0,1626.0,425.0,60.073032,1349027.0,,,
80827,1633.0585,436.05112,169.0,-1792.0,1625.0,425.0,60.221756,1349042.0,,,
80828,1633.6501,435.9953,169.0,-1792.0,1625.0,426.0,60.100616,1349059.0,,,
80829,1634.2418,435.93948,169.0,-1792.0,1625.0,427.0,60.269825,1349075.0,,,
80830,1634.8335,435.88367,169.0,-1792.0,1625.0,427.0,60.243637,1349092.0,,,
80831,1635.4252,435.82785,169.0,-1792.0,1625.0,428.0,59.981544,1349110.0,,,
80832,1636.0168,435.77203,169.0,-1792.0,1625.0,429.0,59.91628,1349127.0,,,
80833,1636.6085,435.71622,169.0,-1792.0,1625.0,429.0,59.656075,1349145.0,,,
80834,1637.2002,435.6604,169.0,-1792.0,1625.0,430.0,60.082813,1349159.0,,,
80835,1637.7919,435.60458,169.0,-1792.0,1625.0,430.0,60.281437,1349175.0,,,
80836,1638.3835,435.54877,169.0,-1792.0,1624.0,431.0,59.93728,1349194.0,,,
80837,1638.9752,435.49295,169.0,-1792.0,1624.0,432.0,59.126442,1349214.0,,,
80838,1639.5669,435.43713,169.0,-1792.0,1624.0,432.0,60.015503,1349227.0,,,
80839,1640.1586,435.38132,169.0,-1792.0,1624.0,433.0,59.987125,1349245.0,,,
80840,1640.7502,435.3255,169.0,-1792.0,1624.0,434.0,59.298153,1349265.0,,,
80841,1641.3419,435.26968,169.0,-1792.0,1624.0,434.0,60.31976,1349275.0,,,
80842,1641.9336,435.21387,169.0,-1792.0,1624.0,435.0,60.277386,1349292.0,,,
80843,1642.5253,435.15805,169.0,-1792.0,1624.0,436.0,60.224327,1349309.0,,,
80844,1643.117,435.10223,169.0,-1792.0,1623.0,436.0,60.299698,1349325.0,,,
80845,1643.7086,435.04642,169.0,-1792.0,1623.0,437.0,60.069424,1349343.0,,,
80846,1644.3003,434.9906,169.0,-1792.0,1623.0,438.0,59.27526,1349365.0,,,
80847,1644.892,434.93478,169.0,-1792.0,1623.0,438.0,59.990406,1349377.0,,,
80848,1645.4836,434.87897,169.0,-1792.0,1623.0,439.0,60.167545,1349392.0,,,
80849,1646.0753,434.82315,169.0,-1792.0,1623.0,440.0,60.322952,1349408.0,,,
80850,1646.667,434.76733,169.0,-1792.0,1623.0,441.0,60.282124,1349425.0,,,
80851,1647.2587,434.71152,169.0,-1792.0,1623.0,441.0,60.085476,1349442.0,,,
80852,1647.8503,434.6557,169.0,-1792.0,1622.0,442.0,60.09043,1349459.0,,,
80853,1648.442,434.59988,169.0,-1792.0,1622.0,443.0,60.277763,1349475.0,,,
80854,1649.0337,434.54407,169.0,-1792.0,1622.0,443.0,60.23074,1349492.0,,,
80855,1649.6254,434.48825,169.0,-1792.0,1622.0,444.0,59.978874,1349510.0,,,
80856,1650.217,434.43243,169.0,-1792.0,1622.0,445.0,60.0678,1349526.0,,,
80857,1650.8087,434.37662,169.0,-1792.0,1622.0,445.0,60.004192,1349543.0,,,
80858,1651.4004,434.3208,169.0,-1792.0,1622.0,446.0,60.145267,1349559.0,,,
80859,1651.9921,434.26498,169.0,-1792.0,1621.0,447.0,60.1344,1349575.0,,,
80860,1652.5837,434.20917,169.0,-1792.0,1621.0,447.0,60.074234,1349592.0,,,
80861,1653.1754,434.15335,169.0,-1792.0,1621.0,448.0,59.971928,1349609.0,,,
80862,1653.7671,434.09753,169.0,-1792.0,1621.0,449.0,60.058147,1349626.0,,,
80863,1654.3588,434.04172,169.0,-1792.0,1621.0,449.0,60.02951,1349642.0,,,
80864,1654.9504,433.9859,169.0,-1792.0,1621.0,450.0,60.14685,1349659.0,,,
80865,1655.5421,433.93008,169.0,-1792.0,1621.0,451.0,60.112442,1349676.0,,,
80866,1656.1338,433.87427,169.0,-1792.0,1621.0,451.0,60.217197,1349691.0,,,
80867,1656.7255,433.81845,169.0,-1792.0,1620.0,452.0,60.07307,1349709.0,,,
80868,1657.3171,433.76263,169.0,-1792.0,1620.0,453.0,59.879684,1349726.0,,,
80869,1657.9088,433.70682,169.0,-1792.0,1620.0,453.0,59.683952,1349744.0,,,
80870,1658.5005,433.651,169.0,-1792.0,1620.0,454.0,59.969128,1349759.0,,,
80871,1659.0922,433.59518,169.0,-1792.0,1620.0,455.0,60.170376,1349775.0,,,
80872,1659.6838,433.53937,169.0,-1792.0,1620.0,455.0,60.060436,1349792.0,,,
80873,1660.2755,433.48355,169.0,-1792.0,1620.0,456.0,60.003944,1349809.0,,,
80874,1660.8672,433.42773,169.0,-1792.0,1619.0,457.0,60.165386,1349825.0,,,
80875,1661.4589,433.37192,169.0,-1792.0,1619.0,457.0,59.90431,1349845.0,,,
80876,1662.0505,433.3161,169.0,-1792.0,1619.0,458.0,59.020794,1349865.0,,,
80877,1662.6422,433.26028,169.0,-1792.0,1619.0,459.0,60.090443,1349877.0,,,
80878,1663.2339,433.20447,169.0,-1792.0,1619.0,459.0,60.100445,1349892.0,,,
80879,1663.8256,433.14865,169.0,-1792.0,1619.0,460.0,59.910496,1349910.0,,,
80880,1664.4172,433.09283,169.0,-1792.0,1618.0,461.0,59.860535,1349927.0,,,
80881,1665.0089,433.03702,169.0,-1792.0,1618.0,461.0,59.737827,1349944.0,,,
80882,1665.6006,432.9812,169.0,-1792.0,1618.0,462.0,60.042835,1349959.0,,,
80883,1666.1923,432.92538,169.0,-1792.0,1618.0,463.0,60.116394,1349976.0,,,
80884,1666.7839,432.86957,169.0,-1792.0,1618.0,463.0,60.100334,1349992.0,,,
80885,1667.3756,432.81375,169.0,-1792.0,1618.0,464.0,59.93506,1350010.0,,,
80886,1667.9673,432.75793,169.0,-1792.0,1617.0,465.0,59.880726,1350027.0,,,
80887,1668.559,432.70212,169.0,-1792.0,1617.0,465.0,59.745575,1350044.0,,,
80888,1669.1506,432.6463,169.0,-1792.0,1617.0,466.0,60.180042,1350059.0,,,
80889,1669.7423,432.59048,169.0,-1792.0,1617.0,467.0,59.94591,1350077.0,,,
80890,1670.334,432.53467,169.0,-1792.0,1617.0,467.0,59.70914,1350095.0,,,
80891,1670.9257,432.47885,169.0,-1792.0,1616.0,468.0,60.046837,1350109.0,,,
80892,1671.5173,432.42303,169.0,-1792.0,1616.0,469.0,60.008762,1350127.0,,,
80893,1672.109,432.36722,169.0,-1792.0,1616.0,469.0,59.692257,1350145.0,,,
80894,1672.7007,432.3114,169.0,-1792.0,1616.0,470.0,60.248978,1350158.0,,,
80895,1673.2924,432.25558,169.0,-1792.0,1616.0,471.0,60.089085,1350177.0,,,
80896,1673.884,432.19977,169.0,-1792.0,1616.0,471.0,60.205875,1350192.0,,,
80897,1674.4757,432.14395,169.0,-1792.0,1615.0,472.0,60.01174,1350210.0,,,
80898,1675.0674,432.08813,169.0,-1792.0,1615.0,473.0,59.962803,1350226.0,,,
80899,1675.659,432.03232,169.0,-1792.0,1615.0,473.0,59.725525,1350244.0,,,
80900,1676.2507,431.9765,169.0,-1792.0,1615.0,474.0,59.9942,1350260.0,,,
80901,1676.8424,431.9207,169.0,-1792.0,1615.0,475.0,59.896706,1350277.0,,,
80902,1677.4341,431.86487,169.0,-1792.0,1615.0,475.0,60.11849,1350292.0,,,
80903,1678.0258,431.80905,169.0,-1792.0,1615.0,476.0,60.27836,1350308.0,,,
80904,1678.6174,431.75323,169.0,-1792.0,1614.0,477.0,60.207226,1350327.0,,,
80905,1679.2091,431.69742,169.0,-1792.0,1614.0,477.0,60.24992,1350341.0,,,
80906,1679.8008,431.6416,169.0,-1792.0,1614.0,478.0,59.98512,1350360.0,,,
80907,1680.3925,431.5858,169.0,-1792.0,1614.0,479.0,60.015667,1350377.0,,,
80908,1680.9841,431.52997,169.0,-1792.0,1614.0,479.0,60.093212,1350392.0,,,
80909,1681.5758,431.47415,169.0,-1792.0,1614.0,480.0,59.91869,1350410.0,,,
80910,1682.1675,431.41833,-198.0,-1792.0,1613.0,481.0,59.872875,1350427.0,,,
80911,1681.6625,431.36252,-198.0,-1792.0,1613.0,482.0,60.085117,1350442.0,,,
80912,1681.1575,431.3067,-198.0,-1792.0,1613.0,482.0,60.033436,1350459.0,,,
80913,1680.6525,431.2509,-198.0,-1792.0,1613.0,483.0,60.078228,1350477.0,,,
80914,1680.1475,431.19507,-198.0,-1792.0,1613.0,484.0,59.984253,1350493.0,,,
80915,1679.6425,431.13925,-198.0,-1792.0,1613.0,484.0,59.9666,1350510.0,,,
80916,1679.1375,431.08344,-198.0,-1792.0,1613.0,485.0,59.911587,1350527.0,,,
80917,1678.6324,431.02762,-198.0,-1792.0,1612.0,486.0,59.73402,1350544.0,,,
80918,1678.1274,430.9718,-198.0,-1792.0,1612.0,486.0,60.06542,1350559.0,,,
80919,1677.6224,430.916,-198.0,-1792.0,1612.0,487.0,60.075706,1350577.0,,,
80920,1677.1174,430.86017,-198.0,-1792.0,1612.0,488.0,60.215206,1350592.0,,,
80921,1676.6124,430.80435,-198.0,-1792.0,1612.0,489.0,60.11322,1350609.0,,,
80922,1676.1074,430.74854,-198.0,-1792.0,1612.0,489.0,60.079826,1350627.0,,,
80923,1675.6024,430.69272,-198.0,-1792.0,1612.0,490.0,60.00117,1350644.0,,,
80924,1675.0974,430.6369,-198.0,-1792.0,1611.0,491.0,60.083736,1350659.0,,,
80925,1674.5924,430.5811,-198.0,-1792.0,1611.0,491.0,60.033154,1350677.0,,,
80926,1674.0874,430.52527,-198.0,-1792.0,1611.0,492.0,59.987484,1350694.0,,,
80927,1673.5824,430.46945,-198.0,-1792.0,1611.0,493.0,59.048985,1350715.0,,,
80928,1673.0774,430.41364,-198.0,-1792.0,1611.0,493.0,59.950176,1350727.0,,,
80929,1672.5724,430.35782,-198.0,-1792.0,1611.0,494.0,59.962563,1350744.0,,,
80930,1672.0674,430.302,-198.0,-1792.0,1611.0,495.0,59.056423,1350765.0,,,
80931,1671.5624,430.2462,-198.0,-1792.0,1611.0,496.0,60.026978,1350777.0,,,
80932,1671.0574,430.19037,-198.0,-1792.0,1610.0,496.0,59.99393,1350794.0,,,
80933,1670.5524,430.13455,-198.0,-1792.0,1610.0,497.0,59.145035,1350815.0,,,
80934,1670.0474,430.07874,-198.0,-1792.0,1610.0,498.0,60.044895,1350827.0,,,
80935,1669.5424,430.02292,-198.0,-1792.0,1610.0,498.0,59.852448,1350844.0,,,
80936,1669.0374,429.9671,-198.0,-1792.0,1610.0,499.0,60.14735,1350859.0,,,
80937,1668.5323,429.9113,-198.0,-1792.0,1610.0,500.0,60.299976,1350875.0,,,
80938,1668.0273,429.85547,-198.0,-1792.0,1610.0,500.0,60.055653,1350893.0,,,
80939,1667.5223,429.79965,-198.0,-1792.0,1610.0,501.0,60.22797,1350909.0,,,
80940,1667.0173,429.74384,-198.0,-1792.0,1609.0,502.0,60.063606,1350927.0,,,
80941,1666.5123,429.68802,-198.0,-1792.0,1609.0,503.0,60.02451,1350943.0,,,
80942,1666.0073,429.6322,-198.0,-1792.0,1609.0,503.0,59.120094,1350965.0,,,
80943,1665.5023,429.5764,-198.0,-1792.0,1609.0,504.0,60.131687,1350977.0,,,
80944,1664.9973,429.52057,-198.0,-1792.0,1609.0,505.0,60.14009,1350994.0,,,
80945,1664.4923,429.46475,-198.0,-1792.0,1609.0,505.0,59.245457,1351014.0,,,
80946,1663.9873,429.40894,-198.0,-1792.0,1609.0,506.0,60.134552,1351027.0,,,
80947,1663.4823,429.35312,-198.0,-1792.0,1608.0,507.0,60.258095,1351042.0,,,
80948,1662.9773,429.2973,-198.0,-1792.0,1608.0,507.0,60.25455,1351059.0,,,
80949,1662.4723,429.2415,-198.0,-1792.0,1608.0,508.0,60.21378,1351077.0,,,
80950,1661.9673,429.18567,-198.0,-1792.0,1608.0,509.0,60.364002,1351091.0,,,
80951,1661.4623,429.12985,-198.0,-1792.0,1608.0,510.0,60.039085,1351110.0,,,
80952,1660.9573,429.07404,-198.0,-1792.0,1608.0,510.0,59.967926,1351127.0,,,
80953,1660.4523,429.01822,-198.0,-1792.0,1608.0,511.0,60.186825,1351142.0,,,
80954,1659.9473,428.9624,-198.0,-1792.0,1608.0,512.0,60.150772,1351159.0,,,
80955,1659.4423,428.9066,-198.0,-1792.0,1608.0,512.0,60.167908,1351177.0,,,
80956,1658.9373,428.85077,-198.0,-1792.0,1607.0,513.0,60.155903,1351192.0,,,
80957,1658.4323,428.79495,-198.0,-1792.0,1607.0,514.0,60.292362,1351208.0,,,
80958,1657.9272,428.73914,-198.0,-1792.0,1607.0,514.0,60.066963,1351227.0,,,
80959,1657.4222,428.68332,-198.0,-1792.0,1607.0,515.0,60.18802,1351242.0,,,
80960,1656.9172,428.6275,-198.0,-1792.0,1607.0,516.0,59.99134,1351260.0,,,
80961,1656.4122,428.5717,-198.0,-1792.0,1607.0,517.0,59.947174,1351277.0,,,
80962,1655.9072,428.51587,-198.0,-1792.0,1607.0,517.0,59.72786,1351295.0,,,
80963,1655.4022,428.46005,-198.0,-1792.0,1607.0,518.0,60.232525,1351308.0,,,
80964,1654.8972,428.40424,-198.0,-1792.0,1606.0,519.0,60.01407,1351327.0,,,
80965,1654.3922,428.34842,-198.0,-1792.0,1606.0,519.0,60.163036,1351342.0,,,
80966,1653.8872,428.2926,-198.0,-1792.0,1606.0,520.0,60.112152,1351359.0,,,
80967,1653.3822,428.2368,-198.0,-1792.0,1606.0,521.0,60.119015,1351377.0,,,
80968,1652.8772,428.18097,-198.0,-1792.0,1606.0,521.0,60.26838,1351391.0,,,
80969,1652.3722,428.12515,-198.0,-1792.0,1606.0,522.0,60.080208,1351409.0,,,
80970,1651.8672,428.06934,-198.0,-1792.0,1606.0,523.0,60.16469,1351425.0,,,
80971,1651.3622,428.01352,-198.0,-1792.0,1606.0,523.0,59.93931,1351445.0,,,
80972,1650.8572,427.9577,-198.0,-1792.0,1605.0,524.0,59.083687,1351466.0,,,
80973,1650.3522,427.9019,-198.0,-1792.0,1605.0,525.0,59.969807,1351477.0,,,
80974,1649.8472,427.84607,-198.0,-1792.0,1605.0,526.0,59.774845,1351494.0,,,
80975,1649.3422,427.79025,-198.0,-1792.0,1605.0,526.0,60.104343,1351509.0,,,
80976,1648.8372,427.73444,-198.0,-1792.0,1605.0,527.0,60.15712,1351527.0,,,
80977,1648.3322,427.67862,-198.0,-1792.0,1605.0,528.0,60.12036,1351542.0,,,
