frame,x,y,IOIx,IOIy,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = false
354,0.01,0.01,10000.0,10000.0,60.148136,11685.0,,,,
355,0.02,0.02,10000.0,10000.0,59.22456,11693.0,,,,
356,0.03,0.03,10000.0,10000.0,58.96533,11709.0,,,,
357,0.04,0.04,10000.0,10000.0,58.816525,11727.0,,,,
358,0.049999997,0.049999997,10000.0,10000.0,59.17455,11741.0,,,,
359,0.059999995,0.059999995,10000.0,10000.0,59.332375,11757.0,,,,
360,0.06999999,0.06999999,10000.0,10000.0,58.97586,11777.0,,,,
361,0.07999999,0.07999999,10000.0,10000.0,59.308006,11791.0,,,,
362,0.08999999,0.08999999,10000.0,10000.0,59.391678,11808.0,,,,
363,0.09999999,0.09999999,10000.0,10000.0,58.94197,11827.0,,,,
364,0.109999985,0.109999985,10000.0,10000.0,59.232918,11842.0,,,,
365,0.11999998,0.11999998,10000.0,10000.0,59.390053,11858.0,,,,
366,0.12999998,0.12999998,10000.0,10000.0,59.134647,11877.0,,,,
367,0.13999999,0.13999999,10000.0,10000.0,59.546673,11891.0,,,,
368,0.14999999,0.14999999,10000.0,10000.0,59.1776,11910.0,,,,
369,0.16,0.16,10000.0,10000.0,59.641655,11925.0,,,,
370,0.17,0.17,10000.0,10000.0,59.609074,11941.0,,,,
371,0.18,0.18,10000.0,10000.0,59.526337,11958.0,,,,
372,0.19000001,0.19000001,10000.0,10000.0,59.35171,11976.0,,,,
373,0.20000002,0.20000002,10000.0,10000.0,59.313606,11993.0,,,,
374,0.21000002,0.21000002,10000.0,10000.0,59.826046,12007.0,,,,
375,0.22000003,0.22000003,10000.0,10000.0,59.415062,12027.0,,,,
376,0.23000003,0.23000003,10000.0,10000.0,59.72921,12041.0,,,,
377,0.24000004,0.24000004,10000.0,10000.0,59.672176,12058.0,,,,
378,0.25000003,0.25000003,10000.0,10000.0,59.514587,12076.0,,,,
379,0.26000002,0.26000002,10000.0,10000.0,59.774906,12092.0,,,,
380,0.27,0.27,10000.0,10000.0,59.56978,12110.0,,,,
381,0.28,0.28,10000.0,10000.0,59.54826,12126.0,,,,
382,0.29,0.29,10000.0,10000.0,59.865765,12141.0,,,,
383,0.29999998,0.29999998,10000.0,10000.0,59.83341,12157.0,,,,
384,0.30999997,0.30999997,10000.0,10000.0,59.935543,12174.0,,,,
385,0.31999996,0.31999996,10000.0,10000.0,59.555527,12193.0,,,,
386,0.32999995,0.32999995,10000.0,10000.0,59.830837,12208.0,,,,
387,0.33999994,0.33999994,10000.0,10000.0,59.73562,12225.0,,,,
388,0.34999993,0.34999993,10000.0,10000.0,59.92818,12241.0,,,,
389,0.35999992,0.35999992,10000.0,10000.0,60.050755,12257.0,,,,
390,0.36999992,0.36999992,10000.0,10000.0,59.993515,12274.0,,,,
391,0.3799999,0.3799999,10000.0,10000.0,59.927452,12291.0,,,,
392,0.3899999,0.3899999,10000.0,10000.0,59.729828,12308.0,,,,
393,0.3999999,0.3999999,10000.0,10000.0,59.828514,12324.0,,,,
394,0.40999988,0.40999988,10000.0,10000.0,59.873417,12341.0,,,,
395,0.41999987,0.41999987,10000.0,10000.0,59.90439,12357.0,,,,
396,0.42999986,0.42999986,10000.0,10000.0,59.623756,12376.0,,,,
397,0.43999985,0.43999985,10000.0,10000.0,59.98697,12391.0,,,,
398,0.44999984,0.44999984,10000.0,10000.0,60.07174,12407.0,,,,
399,0.45999983,0.45999983,10000.0,10000.0,59.821712,12425.0,,,,
400,0.46999982,0.46999982,10000.0,10000.0,59.780426,12442.0,,,,
401,0.4799998,0.4799998,10000.0,10000.0,59.995777,12458.0,,,,
402,0.4899998,0.4899998,10000.0,10000.0,60.026077,12474.0,,,,
403,0.4999998,0.4999998,10000.0,10000.0,59.586483,12494.0,,,,
404,0.5099998,0.5099998,10000.0,10000.0,59.926018,12508.0,,,,
405,0.5199998,0.5199998,10000.0,10000.0,59.85711,12525.0,,,,
406,0.5299998,0.5299998,10000.0,10000.0,60.17784,12540.0,,,,
407,0.5399998,0.5399998,10000.0,10000.0,60.12803,12557.0,,,,
408,0.5499998,0.5499998,10000.0,10000.0,59.75048,12576.0,,,,
409,0.55999976,0.55999976,10000.0,10000.0,59.995857,12591.0,,,,
410,0.56999975,0.56999975,10000.0,10000.0,59.93804,12608.0,,,,
411,0.57999974,0.57999974,10000.0,10000.0,59.64615,12627.0,,,,
412,0.58999974,0.58999974,10000.0,10000.0,59.812164,12643.0,,,,
413,0.5999997,0.5999997,10000.0,10000.0,59.805187,12659.0,,,,
414,0.6099997,0.6099997,10000.0,10000.0,60.103695,12674.0,,,,
415,0.6199997,0.6199997,10000.0,10000.0,59.902893,12692.0,,,,
416,0.6299997,0.6299997,10000.0,10000.0,59.977947,12708.0,,,,
417,0.6399997,0.6399997,10000.0,10000.0,59.981598,12724.0,,,,
418,0.6499997,0.6499997,10000.0,10000.0,60.22286,12740.0,,,,
419,0.65999967,0.65999967,10000.0,10000.0,59.713062,12759.0,,,,
420,0.66999966,0.66999966,10000.0,10000.0,60.12157,12774.0,,,,
421,0.67999965,0.67999965,10000.0,10000.0,59.58994,12794.0,,,,
422,0.68999964,0.68999964,10000.0,10000.0,60.180645,12807.0,,,,
423,0.69999963,0.69999963,10000.0,10000.0,60.097355,12824.0,,,,
424,0.7099996,0.7099996,10000.0,10000.0,59.655777,12844.0,,,,
425,0.7199996,0.7199996,10000.0,10000.0,60.184444,12857.0,,,,
426,0.7299996,0.7299996,10000.0,10000.0,60.10332,12874.0,,,,
427,0.7399996,0.7399996,10000.0,10000.0,59.725513,12893.0,,,,
428,0.7499996,0.7499996,10000.0,10000.0,60.0007,12908.0,,,,
429,0.7599996,0.7599996,10000.0,10000.0,60.13124,12924.0,,,,
430,0.76999956,0.76999956,10000.0,10000.0,60.052074,12941.0,,,,
431,0.77999955,0.77999955,10000.0,10000.0,60.186672,12957.0,,,,
432,0.78999954,0.78999954,10000.0,10000.0,60.097744,12974.0,,,,
433,0.79999954,0.79999954,10000.0,10000.0,59.921825,12991.0,,,,
434,0.8099995,0.8099995,10000.0,10000.0,59.956356,13009.0,,,,
435,0.8199995,0.8199995,10000.0,10000.0,60.084713,13024.0,,,,
436,0.8299995,0.8299995,10000.0,10000.0,60.209236,13040.0,,,,
437,0.8399995,0.8399995,10000.0,10000.0,59.96831,13058.0,,,,
438,0.8499995,0.8499995,10000.0,10000.0,59.92357,13075.0,,,,
439,0.8599995,0.8599995,10000.0,10000.0,60.207188,13090.0,,,,
440,0.86999947,0.86999947,10000.0,10000.0,59.661842,13110.0,,,,
441,0.87999946,0.87999946,10000.0,10000.0,60.097588,13124.0,,,,
442,0.88999945,0.88999945,10000.0,10000.0,59.85598,13142.0,,,,
443,0.89999944,0.89999944,10000.0,10000.0,60.162056,13157.0,,,,
444,0.90999943,0.90999943,10000.0,10000.0,59.914936,13175.0,,,,
445,0.9199994,0.9199994,10000.0,10000.0,60.029762,13192.0,,,,
446,0.9299994,0.9299994,10000.0,10000.0,59.68597,13210.0,,,,
447,0.9399994,0.9399994,10000.0,10000.0,59.949104,13225.0,,,,
448,0.9499994,0.9499994,10000.0,10000.0,60.060112,13241.0,,,,
449,0.9599994,0.9599994,10000.0,10000.0,59.88875,13259.0,,,,
450,0.9699994,0.9699994,10000.0,10000.0,60.110397,13274.0,,,,
451,0.97999936,0.97999936,10000.0,10000.0,59.605015,13294.0,,,,
452,0.98999935,0.98999935,10000.0,10000.0,59.995983,13308.0,,,,
453,0.99999934,0.99999934,10000.0,10000.0,60.096085,13324.0,,,,
454,1.0099994,1.0099994,10000.0,10000.0,59.90203,13342.0,,,,
455,1.0199994,1.0199994,10000.0,10000.0,59.993744,13359.0,,,,
456,1.0299994,1.0299994,10000.0,10000.0,59.972427,13375.0,,,,
457,1.0399994,1.0399994,10000.0,10000.0,60.081646,13391.0,,,,
458,1.0499994,1.0499994,10000.0,10000.0,60.01094,13408.0,,,,
459,1.0599993,1.0599993,10000.0,10000.0,60.108276,13425.0,,,,
460,1.0699993,1.0699993,10000.0,10000.0,59.85525,13442.0,,,,
461,1.0799993,1.0799993,10000.0,10000.0,60.00844,13459.0,,,,
462,1.0899993,1.0899993,10000.0,10000.0,59.773293,13476.0,,,,
463,1.0999993,1.0999993,10000.0,10000.0,60.078724,13492.0,,,,
464,1.1099993,1.1099993,10000.0,10000.0,59.860928,13509.0,,,,
465,1.1199993,1.1199993,10000.0,10000.0,60.14614,13524.0,,,,
466,1.1299993,1.1299993,10000.0,10000.0,60.088104,13541.0,,,,
467,1.1399993,1.1399993,10000.0,10000.0,60.01292,13558.0,,,,
468,1.1499993,1.1499993,10000.0,10000.0,60.03594,13575.0,,,,
469,1.1599993,1.1599993,10000.0,10000.0,60.246494,13590.0,,,,
470,1.1699992,1.1699992,10000.0,10000.0,59.636623,13611.0,,,,
471,1.1799992,1.1799992,10000.0,10000.0,59.778946,13626.0,,,,
472,1.1899992,1.1899992,10000.0,10000.0,59.972565,13642.0,,,,
473,1.1999992,1.1999992,10000.0,10000.0,59.735634,13660.0,,,,
474,1.2099992,1.2099992,10000.0,10000.0,60.155712,13674.0,,,,
475,1.2199992,1.2199992,10000.0,10000.0,59.908867,13692.0,,,,
476,1.2299992,1.2299992,10000.0,10000.0,60.045647,13708.0,,,,
477,1.2399992,1.2399992,10000.0,10000.0,59.88957,13726.0,,,,
478,1.2499992,1.2499992,10000.0,10000.0,60.102654,13741.0,,,,
479,1.2599992,1.2599992,10000.0,10000.0,60.061314,13758.0,,,,
