frame,x,y,IOIx,IOIy,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = true
2160,0.01,0.01,10000.0,10000.0,59.926826,38920.0,,,,
2161,0.02,0.02,10000.0,10000.0,58.466972,38929.0,,,,
2162,0.03,0.03,10000.0,10000.0,58.379402,38944.0,,,,
2163,0.04,0.04,10000.0,10000.0,58.079403,38962.0,,,,
2164,0.049999997,0.049999997,10000.0,10000.0,58.582928,38976.0,,,,
2165,0.059999995,0.059999995,10000.0,10000.0,58.58012,38993.0,,,,
2166,0.06999999,0.06999999,10000.0,10000.0,58.60837,39010.0,,,,
2167,0.07999999,0.07999999,10000.0,10000.0,58.443226,39028.0,,,,
2168,0.08999999,0.08999999,10000.0,10000.0,58.490208,39045.0,,,,
2169,0.09999999,0.09999999,10000.0,10000.0,58.817154,39060.0,,,,
2170,0.109999985,0.109999985,10000.0,10000.0,59.016502,39076.0,,,,
2171,0.11999998,0.11999998,10000.0,10000.0,58.6587,39095.0,,,,
2172,0.12999998,0.12999998,10000.0,10000.0,58.997948,39110.0,,,,
2173,0.13999999,0.13999999,10000.0,10000.0,59.164963,39126.0,,,,
2174,0.14999999,0.14999999,10000.0,10000.0,58.816116,39145.0,,,,
2175,0.16,0.16,10000.0,10000.0,59.07777,39161.0,,,,
2176,0.17,0.17,10000.0,10000.0,59.26901,39176.0,,,,
2177,0.18,0.18,10000.0,10000.0,59.32761,39193.0,,,,
2178,0.19000001,0.19000001,10000.0,10000.0,59.442013,39209.0,,,,
2179,0.20000002,0.20000002,10000.0,10000.0,59.210983,39227.0,,,,
2180,0.21000002,0.21000002,10000.0,10000.0,59.51224,39242.0,,,,
2181,0.22000003,0.22000003,10000.0,10000.0,59.350636,39260.0,,,,
2182,0.23000003,0.23000003,10000.0,10000.0,59.47384,39276.0,,,,
2183,0.24000004,0.24000004,10000.0,10000.0,59.58616,39292.0,,,,
2184,0.25000003,0.25000003,10000.0,10000.0,59.564964,39309.0,,,,
2185,0.26000002,0.26000002,10000.0,10000.0,59.370644,39327.0,,,,
2186,0.27,0.27,10000.0,10000.0,59.2534,39345.0,,,,
2187,0.28,0.28,10000.0,10000.0,59.301895,39361.0,,,,
2188,0.29,0.29,10000.0,10000.0,59.63396,39376.0,,,,
2189,0.29999998,0.29999998,10000.0,10000.0,59.4645,39393.0,,,,
2190,0.30999997,0.30999997,10000.0,10000.0,59.421455,39410.0,,,,
2191,0.31999996,0.31999996,10000.0,10000.0,59.398827,39428.0,,,,
2192,0.32999995,0.32999995,10000.0,10000.0,59.6734,39443.0,,,,
2193,0.33999994,0.33999994,10000.0,10000.0,59.36407,39461.0,,,,
2194,0.34999993,0.34999993,10000.0,10000.0,59.83276,39475.0,,,,
2195,0.35999992,0.35999992,10000.0,10000.0,59.759132,39492.0,,,,
2196,0.36999992,0.36999992,10000.0,10000.0,59.30107,39512.0,,,,
2197,0.3799999,0.3799999,10000.0,10000.0,59.709988,39526.0,,,,
2198,0.3899999,0.3899999,10000.0,10000.0,59.486885,39544.0,,,,
2199,0.3999999,0.3999999,10000.0,10000.0,59.92621,39559.0,,,,
2200,0.40999988,0.40999988,10000.0,10000.0,59.89821,39576.0,,,,
2201,0.41999987,0.41999987,10000.0,10000.0,59.85259,39593.0,,,,
2202,0.42999986,0.42999986,10000.0,10000.0,59.79635,39610.0,,,,
2203,0.43999985,0.43999985,10000.0,10000.0,59.943966,39626.0,,,,
2204,0.44999984,0.44999984,10000.0,10000.0,60.008144,39642.0,,,,
2205,0.45999983,0.45999983,10000.0,10000.0,59.79863,39660.0,,,,
2206,0.46999982,0.46999982,10000.0,10000.0,60.01405,39676.0,,,,
2207,0.4799998,0.4799998,10000.0,10000.0,59.46095,39696.0,,,,
2208,0.4899998,0.4899998,10000.0,10000.0,59.62499,39712.0,,,,
2209,0.4999998,0.4999998,10000.0,10000.0,59.97698,39726.0,,,,
2210,0.5099998,0.5099998,10000.0,10000.0,59.923317,39743.0,,,,
2211,0.5199998,0.5199998,10000.0,10000.0,60.012966,39759.0,,,,
2212,0.5299998,0.5299998,10000.0,10000.0,59.981106,39776.0,,,,
2213,0.5399998,0.5399998,10000.0,10000.0,59.936718,39793.0,,,,
2214,0.5499998,0.5499998,10000.0,10000.0,59.86746,39810.0,,,,
