frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = false
18942,1514.4152,408.68027,-171.0,147.0,1518.0,387.0,60.01658,321527.0,,,,
18943,1513.8303,409.36053,-171.0,147.0,1518.0,388.0,60.11905,321543.0,,,,
18944,1513.2455,410.0408,-171.0,147.0,1518.0,389.0,59.871338,321561.0,,,,
18945,1512.6606,410.72107,-171.0,147.0,1518.0,389.0,60.10749,321576.0,,,,
18946,1512.0758,411.40134,-171.0,147.0,1518.0,390.0,59.878403,321594.0,,,,
18947,1511.491,412.0816,-171.0,147.0,1518.0,390.0,59.905674,321611.0,,,,
18948,1510.9061,412.76187,-171.0,147.0,1518.0,391.0,59.701912,321629.0,,,,
18949,1510.3213,413.44214,-171.0,147.0,1518.0,391.0,60.019314,321643.0,,,,
18950,1509.7365,414.1224,-171.0,147.0,1518.0,392.0,60.030434,321660.0,,,,
18951,1509.1516,414.80267,-171.0,147.0,1518.0,393.0,60.06208,321677.0,,,,
18952,1508.5668,415.48294,-171.0,147.0,1518.0,393.0,59.71268,321695.0,,,,
18953,1507.9819,416.1632,-171.0,147.0,1518.0,394.0,59.976223,321710.0,,,,
18954,1507.3971,416.84348,-171.0,147.0,1517.0,394.0,60.07803,321726.0,,,,
18955,1506.8123,417.52374,-171.0,147.0,1517.0,395.0,59.961468,321744.0,,,,
18956,1506.2274,418.204,-171.0,147.0,1517.0,396.0,60.016994,321761.0,,,,
18957,1505.6426,418.88428,-171.0,147.0,1517.0,396.0,59.700336,321779.0,,,,
18958,1505.0577,419.56454,-171.0,147.0,1517.0,397.0,60.15685,321793.0,,,,
18959,1504.4729,420.2448,-171.0,147.0,1517.0,397.0,59.962685,321811.0,,,,
18960,1503.8881,420.92508,-171.0,147.0,1517.0,398.0,60.082844,321827.0,,,,
18961,1503.3032,421.60535,-171.0,147.0,1517.0,399.0,60.138145,321844.0,,,,
18962,1502.7184,422.2856,-171.0,147.0,1517.0,399.0,60.063587,321860.0,,,,
18963,1502.1335,422.96588,-171.0,147.0,1517.0,400.0,60.068695,321877.0,,,,
18964,1501.5487,423.64615,-171.0,147.0,1516.0,401.0,59.548836,321896.0,,,,
