frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = true
20728,277.6757,711.11505,148.0,-113.0,274.0,733.0,60.19426,348463.0,,,,
20729,278.35138,710.2301,148.0,-113.0,274.0,732.0,60.119892,348480.0,,,,
20730,279.02707,709.34515,148.0,-113.0,274.0,731.0,59.825127,348498.0,,,,
20731,279.70276,708.4602,148.0,-113.0,274.0,731.0,60.190353,348513.0,,,,
20732,280.37845,707.57526,148.0,-113.0,274.0,730.0,60.103786,348530.0,,,,
20733,281.05414,706.6903,148.0,-113.0,274.0,730.0,60.055664,348547.0,,,,
20734,281.72983,705.80536,148.0,-113.0,274.0,729.0,60.15374,348563.0,,,,
20735,282.40552,704.9204,148.0,-113.0,274.0,729.0,59.627792,348583.0,,,,
20736,283.0812,704.03546,148.0,-113.0,274.0,728.0,60.1509,348597.0,,,,
20737,283.7569,703.1505,148.0,-113.0,274.0,727.0,59.924225,348614.0,,,,
20738,284.4326,702.26556,148.0,-113.0,274.0,727.0,60.100647,348630.0,,,,
20739,285.10828,701.3806,148.0,-113.0,274.0,726.0,59.862675,348649.0,,,,
20740,285.78397,700.49567,148.0,-113.0,275.0,726.0,60.053062,348664.0,,,,
20741,286.45966,699.6107,148.0,-113.0,275.0,725.0,60.12335,348681.0,,,,
20742,287.13535,698.72577,148.0,-113.0,275.0,724.0,59.74255,348699.0,,,,
20743,287.81104,697.8408,148.0,-113.0,275.0,724.0,59.998997,348714.0,,,,
20744,288.48672,696.9559,148.0,-113.0,275.0,723.0,60.09069,348730.0,,,,
20745,289.1624,696.0709,148.0,-113.0,275.0,723.0,60.15138,348747.0,,,,
20746,289.8381,695.186,148.0,-113.0,275.0,722.0,60.149467,348763.0,,,,
20747,290.5138,694.301,148.0,-113.0,275.0,721.0,59.907677,348781.0,,,,
20748,291.18948,693.4161,148.0,-113.0,275.0,721.0,59.993675,348797.0,,,,
20749,291.86517,692.5311,148.0,-113.0,275.0,720.0,60.133774,348813.0,,,,
20750,292.54086,691.6462,148.0,-113.0,276.0,719.0,60.064358,348831.0,,,,
20751,293.21655,690.7612,148.0,-113.0,276.0,719.0,59.55357,348850.0,,,,
20752,293.89224,689.8763,148.0,-113.0,276.0,718.0,60.171787,348864.0,,,,
20753,294.56793,688.99133,148.0,-113.0,276.0,718.0,59.838985,348882.0,,,,
20754,295.24362,688.1064,148.0,-113.0,276.0,717.0,60.065094,348897.0,,,,
20755,295.9193,687.22144,148.0,-113.0,276.0,716.0,59.572483,348917.0,,,,
20756,296.595,686.3365,148.0,-113.0,276.0,716.0,59.972992,348932.0,,,,
20757,297.2707,685.45154,148.0,-113.0,276.0,715.0,60.056305,348948.0,,,,
20758,297.94638,684.5666,148.0,-113.0,277.0,715.0,60.019627,348964.0,,,,
20759,298.62207,683.68164,148.0,-113.0,277.0,714.0,59.577168,348984.0,,,,
20760,299.29776,682.7967,148.0,-113.0,277.0,713.0,60.077812,348998.0,,,,
20761,299.97345,681.91174,148.0,-113.0,277.0,713.0,60.0351,349015.0,,,,
20762,300.64914,681.0268,148.0,-113.0,277.0,712.0,60.12272,349031.0,,,,
