frame,x,y,IOIx,IOIy,frameRate,time,W = 1920,H = 1080,taps = 3
1653,180.9731,69.69778,233.0,255.5,59.98846,29312.0,,,
1654,181.40228,70.089165,233.0,255.5,60.10983,29327.0,,,
1655,181.83147,70.48055,233.0,255.5,59.962646,29344.0,,,
1656,182.26065,70.87194,233.0,255.5,60.088654,29361.0,,,
1657,182.68983,71.26333,233.0,255.5,60.034412,29377.0,,,
1658,183.11902,71.65472,233.0,255.5,59.9763,29394.0,,,
1659,183.5482,72.046104,233.0,255.5,59.82559,29412.0,,,
1660,183.97739,72.43749,233.0,255.5,59.967773,29428.0,,,
1661,184.40657,72.82888,233.0,255.5,59.913776,29445.0,,,
1662,184.83575,73.22027,233.0,255.5,60.048683,29461.0,,,
1663,185.26494,73.61166,233.0,255.5,59.994923,29478.0,,,
1664,185.69412,74.003044,233.0,255.5,59.944786,29494.0,,,
1665,186.1233,74.39443,233.0,255.5,59.70455,29513.0,,,
1666,186.55249,74.78582,233.0,255.5,60.030354,29527.0,,,
1667,186.98167,75.17721,233.0,255.5,59.97641,29544.0,,,
1668,187.41086,75.568596,233.0,255.5,60.101063,29561.0,,,
1669,187.84004,75.959984,233.0,255.5,59.85974,29578.0,,,
1670,188.26923,76.35137,233.0,255.5,59.988964,29594.0,,,
1671,188.69841,76.74276,233.0,255.5,60.11367,29611.0,,,
1672,189.1276,77.13415,233.0,255.5,60.058765,29627.0,,,
1673,189.55678,77.525536,233.0,255.5,60.184002,29644.0,,,
1674,189.98596,77.91692,233.0,255.5,60.120937,29660.0,,,
1675,190.41515,78.30831,233.0,255.5,60.065533,29677.0,,,
1676,190.84433,78.6997,233.0,255.5,60.015873,29694.0,,,
1677,191.27351,79.09109,233.0,255.5,60.081097,29710.0,,,
1678,191.7027,79.482475,233.0,255.5,59.839134,29728.0,,,
1679,192.13188,79.87386,233.0,255.5,59.979088,29744.0,,,
1680,192.56107,80.26525,233.0,255.5,60.107754,29760.0,,,
1681,192.99025,80.65664,233.0,255.5,59.859165,29778.0,,,
1682,193.41943,81.04803,233.0,255.5,59.99462,29794.0,,,
1683,193.84862,81.439415,233.0,255.5,60.117874,29810.0,,,
1684,194.2778,81.8308,233.0,255.5,59.8813,29828.0,,,
1685,194.70699,82.22219,233.0,255.5,59.82701,29846.0,,,
1686,195.13617,82.61358,233.0,255.5,60.142036,29860.0,,,
1687,195.56535,83.00497,233.0,255.5,59.909172,29878.0,,,
1688,195.99454,83.396355,233.0,255.5,60.040035,29894.0,,,
1689,196.42372,83.78774,233.0,255.5,59.981308,29911.0,,,
1690,196.8529,84.17913,233.0,255.5,59.935753,29928.0,,,
1691,197.28209,84.57052,233.0,255.5,60.06132,29944.0,,,
1692,197.71127,84.96191,233.0,255.5,60.003864,29961.0,,,
1693,198.14046,85.353294,233.0,255.5,60.135334,29977.0,,,
1694,198.56964,85.74468,233.0,255.5,59.900753,29995.0,,,
1695,198.99883,86.13607,233.0,255.5,59.85491,30012.0,,,
1696,199.42801,86.52746,233.0,255.5,59.981983,30028.0,,,
1697,199.8572,86.918846,233.0,255.5,60.193047,30043.0,,,
1698,200.28638,87.310234,233.0,255.5,59.940975,30061.0,,,
1699,200.71556,87.70162,233.0,255.5,59.713097,30079.0,,,
1700,201.14474,88.09301,233.0,255.5,60.034504,30094.0,,,
1701,201.57393,88.4844,233.0,255.5,59.98747,30111.0,,,
1702,202.00311,88.875786,233.0,255.5,60.106136,30127.0,,,
1703,202.4323,89.26717,233.0,255.5,60.055374,30144.0,,,
1704,202.86148,89.65856,233.0,255.5,60.10524,30161.0,,,
1705,203.29066,90.04995,233.0,255.5,60.046337,30177.0,,,
1706,203.71985,90.44134,233.0,255.5,59.99648,30194.0,,,
1707,204.14903,90.832726,233.0,255.5,59.753586,30212.0,,,
