frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = true
172659,276.60785,711.0991,-255.0,-111.0,274.0,733.0,60.330402,2926365.0,,,,
172660,276.2157,710.19824,-255.0,-111.0,274.0,732.0,60.254395,2926382.0,,,,
172661,275.82355,709.29736,-255.0,-111.0,274.0,731.0,59.953278,2926401.0,,,,
172662,275.4314,708.3965,-255.0,-111.0,274.0,731.0,59.94722,2926417.0,,,,
172663,275.03925,707.4956,-255.0,-111.0,274.0,730.0,60.058117,2926433.0,,,,
172664,274.6471,706.5947,-255.0,-111.0,274.0,730.0,60.314007,2926448.0,,,,
172665,274.25494,705.69385,-255.0,-111.0,274.0,729.0,60.27578,2926466.0,,,,
172666,273.8628,704.79297,-255.0,-111.0,274.0,729.0,60.137722,2926483.0,,,,
172667,273.47064,703.8921,-255.0,-111.0,274.0,728.0,59.92381,2926501.0,,,,
172668,273.0785,702.9912,-255.0,-111.0,274.0,727.0,60.049793,2926517.0,,,,
172669,272.68634,702.09033,-255.0,-111.0,274.0,727.0,59.934734,2926534.0,,,,
172670,272.2942,701.18945,-255.0,-111.0,274.0,726.0,60.321186,2926549.0,,,,
172671,271.90204,700.2886,-255.0,-111.0,275.0,726.0,60.206383,2926566.0,,,,
172672,271.5099,699.3877,-255.0,-111.0,275.0,725.0,59.98909,2926583.0,,,,
172673,271.11774,698.4868,-255.0,-111.0,275.0,724.0,60.09974,2926600.0,,,,
172674,270.7256,697.58594,-255.0,-111.0,275.0,724.0,60.111736,2926616.0,,,,
172675,270.33344,696.68506,-255.0,-111.0,275.0,723.0,59.768925,2926635.0,,,,
172676,269.94128,695.7842,-255.0,-111.0,275.0,723.0,60.088177,2926650.0,,,,
172677,269.54913,694.8833,-255.0,-111.0,275.0,722.0,60.190956,2926665.0,,,,
172678,269.15698,693.9824,-255.0,-111.0,275.0,721.0,60.14388,2926682.0,,,,
172679,268.76483,693.08154,-255.0,-111.0,275.0,721.0,60.062035,2926699.0,,,,
172680,268.37268,692.18066,-255.0,-111.0,275.0,720.0,60.18022,2926716.0,,,,
172681,267.98053,691.2798,-255.0,-111.0,276.0,719.0,60.013767,2926733.0,,,,
172682,267.58838,690.3789,-255.0,-111.0,276.0,719.0,60.04218,2926750.0,,,,
172683,267.19623,689.478,-255.0,-111.0,276.0,718.0,60.175625,2926766.0,,,,
172684,266.80408,688.57715,-255.0,-111.0,276.0,718.0,60.099934,2926783.0,,,,
172685,266.41193,687.6763,-255.0,-111.0,276.0,717.0,60.22373,2926799.0,,,,
172686,266.01978,686.7754,-255.0,-111.0,276.0,716.0,59.71627,2926818.0,,,,
172687,265.62762,685.8745,-255.0,-111.0,276.0,716.0,60.284138,2926832.0,,,,
172688,265.23547,684.97363,-255.0,-111.0,276.0,715.0,60.150696,2926849.0,,,,
172689,264.84332,684.07275,-255.0,-111.0,277.0,715.0,59.982777,2926867.0,,,,
172690,264.45117,683.1719,-255.0,-111.0,277.0,714.0,60.02555,2926883.0,,,,
172691,264.05902,682.271,-255.0,-111.0,277.0,713.0,60.022007,2926900.0,,,,
172692,263.66687,681.3701,-255.0,-111.0,277.0,713.0,60.13284,2926916.0,,,,
172693,263.27472,680.46924,-255.0,-111.0,277.0,712.0,59.893543,2926934.0,,,,
172694,262.88257,679.56836,-255.0,-111.0,277.0,711.0,60.012882,2926949.0,,,,
172695,262.49042,678.6675,-255.0,-111.0,277.0,711.0,60.124874,2926965.0,,,,
172696,262.09827,677.7666,-255.0,-111.0,277.0,710.0,60.06883,2926982.0,,,,
172697,261.70612,676.8657,-255.0,-111.0,277.0,710.0,60.12541,2926999.0,,,,
172698,261.31396,675.96484,-255.0,-111.0,278.0,709.0,59.77382,2927018.0,,,,
172699,260.9218,675.06396,-255.0,-111.0,278.0,708.0,60.140354,2927032.0,,,,
172700,260.52966,674.1631,-255.0,-111.0,278.0,708.0,60.00614,2927049.0,,,,
172701,260.1375,673.2622,-255.0,-111.0,278.0,707.0,60.125496,2927065.0,,,,
172702,259.74536,672.3613,-255.0,-111.0,278.0,706.0,59.67241,2927085.0,,,,
172703,259.3532,671.46045,-255.0,-111.0,278.0,706.0,59.712,2927101.0,,,,
172704,258.96106,670.5596,-255.0,-111.0,278.0,705.0,60.174137,2927116.0,,,,
172705,258.5689,669.6587,-255.0,-111.0,278.0,704.0,60.26721,2927132.0,,,,
172706,258.17676,668.7578,-255.0,-111.0,279.0,704.0,59.944157,2927150.0,,,,
172707,257.7846,667.85693,-255.0,-111.0,279.0,703.0,60.116737,2927166.0,,,,
172708,257.39246,666.95605,-255.0,-111.0,279.0,703.0,59.67551,2927185.0,,,,
172709,257.0003,666.0552,-255.0,-111.0,279.0,702.0,59.992336,2927200.0,,,,
172710,256.60815,665.1543,-255.0,-111.0,279.0,701.0,60.140182,2927216.0,,,,
172711,256.216,664.2534,-255.0,-111.0,279.0,701.0,60.06692,2927232.0,,,,
172712,255.82385,663.35254,-255.0,-111.0,279.0,700.0,60.01359,2927249.0,,,,
172713,255.4317,662.45166,-255.0,-111.0,279.0,699.0,60.050884,2927266.0,,,,
172714,255.03955,661.5508,-255.0,-111.0,280.0,699.0,59.729656,2927285.0,,,,
172715,254.6474,660.6499,-255.0,-111.0,280.0,698.0,60.110573,2927299.0,,,,
172716,254.25525,659.749,-255.0,-111.0,280.0,698.0,59.77879,2927318.0,,,,
172717,253.8631,658.84814,-255.0,-111.0,280.0,697.0,59.852413,2927334.0,,,,
172718,253.47095,657.94727,-255.0,-111.0,280.0,696.0,60.034378,2927350.0,,,,
172719,253.0788,657.0464,-255.0,-111.0,280.0,696.0,60.120674,2927366.0,,,,
172720,252.68665,656.1455,-255.0,-111.0,280.0,695.0,60.176918,2927382.0,,,,
172721,252.2945,655.2446,-255.0,-111.0,280.0,694.0,59.845486,2927400.0,,,,
172722,251.90234,654.34375,-255.0,-111.0,281.0,694.0,60.147667,2927415.0,,,,
172723,251.5102,653.4429,-255.0,-111.0,281.0,693.0,59.620705,2927436.0,,,,
