frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = false
215154,1514.578,407.68353,-237.0,-316.0,1518.0,387.0,60.150272,3634677.0,,,,
215155,1514.156,407.36707,-237.0,-316.0,1518.0,388.0,60.347378,3634692.0,,,,
215156,1513.734,407.0506,-237.0,-316.0,1518.0,389.0,60.103054,3634710.0,,,,
215157,1513.312,406.73413,-237.0,-316.0,1518.0,389.0,60.13081,3634727.0,,,,
215158,1512.89,406.41766,-237.0,-316.0,1518.0,390.0,60.317272,3634742.0,,,,
215159,1512.468,406.1012,-237.0,-316.0,1518.0,390.0,60.026215,3634761.0,,,,
215160,1512.046,405.78473,-237.0,-316.0,1518.0,391.0,60.13397,3634777.0,,,,
215161,1511.624,405.46826,-237.0,-316.0,1518.0,391.0,60.26172,3634792.0,,,,
215162,1511.202,405.1518,-237.0,-316.0,1518.0,392.0,60.002766,3634811.0,,,,
215163,1510.78,404.83533,-237.0,-316.0,1518.0,393.0,60.131226,3634826.0,,,,
215164,1510.358,404.51886,-237.0,-316.0,1518.0,393.0,59.981853,3634844.0,,,,
215165,1509.936,404.2024,-237.0,-316.0,1518.0,394.0,60.16953,3634860.0,,,,
215166,1509.514,403.88593,-237.0,-316.0,1517.0,394.0,60.02559,3634877.0,,,,
215167,1509.092,403.56946,-237.0,-316.0,1517.0,395.0,60.235767,3634892.0,,,,
215168,1508.67,403.253,-237.0,-316.0,1517.0,396.0,60.17167,3634909.0,,,,
215169,1508.248,402.93652,-237.0,-316.0,1517.0,396.0,60.091366,3634927.0,,,,
215170,1507.826,402.62006,-237.0,-316.0,1517.0,397.0,60.05258,3634943.0,,,,
215171,1507.404,402.3036,-237.0,-316.0,1517.0,397.0,59.94281,3634961.0,,,,
215172,1506.982,401.98712,-237.0,-316.0,1517.0,398.0,60.235012,3634976.0,,,,
215173,1506.56,401.67065,-237.0,-316.0,1517.0,399.0,60.021965,3634994.0,,,,
215174,1506.1381,401.3542,-237.0,-316.0,1517.0,399.0,59.67074,3635012.0,,,,
215175,1505.7161,401.03772,-237.0,-316.0,1517.0,400.0,60.060913,3635028.0,,,,
215176,1505.2941,400.72125,-237.0,-316.0,1516.0,401.0,59.686317,3635046.0,,,,
215177,1504.8721,400.4048,-237.0,-316.0,1516.0,401.0,60.162148,3635060.0,,,,
215178,1504.4501,400.08832,-237.0,-316.0,1516.0,402.0,60.06791,3635077.0,,,,
215179,1504.0281,399.77185,-237.0,-316.0,1516.0,402.0,60.045284,3635094.0,,,,
215180,1503.6061,399.45538,-237.0,-316.0,1516.0,403.0,60.147198,3635110.0,,,,
215181,1503.1841,399.13892,-237.0,-316.0,1516.0,404.0,59.646282,3635130.0,,,,
215182,1502.7621,398.82245,-237.0,-316.0,1516.0,404.0,59.93825,3635145.0,,,,
215183,1502.3401,398.50598,-237.0,-316.0,1516.0,405.0,59.960564,3635161.0,,,,
215184,1501.9181,398.1895,-237.0,-316.0,1515.0,405.0,60.07432,3635177.0,,,,
215185,1501.4961,397.87305,-237.0,-316.0,1515.0,406.0,60.200733,3635193.0,,,,
215186,1501.0741,397.55658,-237.0,-316.0,1515.0,407.0,60.13697,3635210.0,,,,
215187,1500.6521,397.2401,-237.0,-316.0,1515.0,407.0,60.056778,3635227.0,,,,
215188,1500.2301,396.92365,-237.0,-316.0,1515.0,408.0,59.976894,3635245.0,,,,
215189,1499.8081,396.60718,-237.0,-316.0,1515.0,409.0,60.00966,3635260.0,,,,
215190,1499.3861,396.2907,-237.0,-316.0,1515.0,409.0,59.68016,3635279.0,,,,
215191,1498.9641,395.97424,-237.0,-316.0,1515.0,410.0,60.198708,3635293.0,,,,
215192,1498.5421,395.65778,-237.0,-316.0,1515.0,410.0,60.127586,3635310.0,,,,
215193,1498.1201,395.3413,-237.0,-316.0,1514.0,411.0,59.69882,3635330.0,,,,
215194,1497.6981,395.02484,-237.0,-316.0,1514.0,412.0,59.74931,3635346.0,,,,
215195,1497.2761,394.70837,-237.0,-316.0,1514.0,412.0,59.960598,3635361.0,,,,
