frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = true
19156,277.59882,712.5988,167.0,167.0,274.0,733.0,60.170715,322104.0,,,,
19157,278.19763,713.19763,167.0,167.0,274.0,732.0,59.98112,322122.0,,,,
19158,278.79645,713.79645,167.0,167.0,274.0,731.0,59.736713,322140.0,,,,
19159,279.39526,714.39526,167.0,167.0,274.0,731.0,60.142677,322154.0,,,,
19160,279.99408,714.9941,167.0,167.0,274.0,730.0,60.11031,322171.0,,,,
19161,280.5929,715.5929,167.0,167.0,274.0,730.0,60.078568,322188.0,,,,
19162,281.1917,716.1917,167.0,167.0,274.0,729.0,60.306652,322203.0,,,,
19163,281.79053,716.7905,167.0,167.0,274.0,729.0,59.964607,322222.0,,,,
19164,282.38934,717.38934,167.0,167.0,274.0,728.0,60.18133,322237.0,,,,
19165,282.98816,717.98816,167.0,167.0,274.0,727.0,59.748486,322257.0,,,,
19166,283.58698,718.587,167.0,167.0,274.0,727.0,60.220596,322271.0,,,,
19167,284.1858,719.1858,167.0,167.0,274.0,726.0,59.71826,322290.0,,,,
19168,284.7846,719.7846,167.0,167.0,275.0,726.0,60.16702,322304.0,,,,
19169,285.38342,720.3834,167.0,167.0,275.0,725.0,60.245117,322320.0,,,,
19170,285.98224,720.98224,167.0,167.0,275.0,724.0,59.675613,322340.0,,,,
19171,286.58105,721.58105,167.0,167.0,275.0,724.0,60.036995,322355.0,,,,
19172,287.17987,722.1799,167.0,167.0,275.0,723.0,59.863926,322372.0,,,,
19173,287.7787,722.7787,167.0,167.0,275.0,723.0,59.76872,322390.0,,,,
19174,288.3775,723.3775,167.0,167.0,275.0,722.0,59.902386,322406.0,,,,
19175,288.97632,723.9763,167.0,167.0,275.0,721.0,59.900276,322422.0,,,,
19176,289.57513,724.57513,167.0,167.0,275.0,721.0,60.20925,322437.0,,,,
19177,290.17395,725.17395,167.0,167.0,275.0,720.0,59.984024,322455.0,,,,
19178,290.77277,725.77277,167.0,167.0,276.0,719.0,60.166435,322471.0,,,,
19179,291.37158,726.3716,167.0,167.0,276.0,719.0,60.184757,322487.0,,,,
19180,291.9704,726.9704,167.0,167.0,276.0,718.0,59.73834,322506.0,,,,
19181,292.5692,727.5692,167.0,167.0,276.0,718.0,59.9886,322522.0,,,,
19182,293.16803,728.168,167.0,167.0,276.0,717.0,60.197464,322537.0,,,,
19183,293.76685,728.76685,167.0,167.0,276.0,716.0,59.715515,322557.0,,,,
19184,294.36566,729.36566,167.0,167.0,276.0,716.0,59.991898,322572.0,,,,
19185,294.96448,729.9645,167.0,167.0,276.0,715.0,59.78675,322590.0,,,,
19186,295.5633,730.5633,167.0,167.0,277.0,715.0,59.8331,322607.0,,,,
19187,296.1621,731.1621,167.0,167.0,277.0,714.0,60.266296,322620.0,,,,
19188,296.76093,731.7609,167.0,167.0,277.0,713.0,60.19973,322638.0,,,,
19189,297.35974,732.35974,167.0,167.0,277.0,713.0,60.127163,322655.0,,,,
19190,297.95856,732.95856,167.0,167.0,277.0,712.0,59.97249,322673.0,,,,
19191,298.55737,733.5574,167.0,167.0,277.0,711.0,60.205193,322688.0,,,,
19192,299.1562,734.1562,167.0,167.0,277.0,711.0,59.75832,322707.0,,,,
19193,299.755,734.755,167.0,167.0,277.0,710.0,59.98541,322722.0,,,,
19194,300.35382,735.3538,167.0,167.0,277.0,710.0,60.088383,322738.0,,,,
19195,300.95264,735.95264,167.0,167.0,278.0,709.0,60.312332,322754.0,,,,
19196,301.55145,736.55145,167.0,167.0,278.0,708.0,59.64052,322775.0,,,,
19197,302.15027,737.15027,167.0,167.0,278.0,708.0,59.99598,322789.0,,,,
19198,302.74908,737.7491,167.0,167.0,278.0,707.0,60.162548,322805.0,,,,
19199,303.3479,738.3479,167.0,167.0,278.0,706.0,59.98015,322822.0,,,,
19200,303.94672,738.9467,167.0,167.0,278.0,706.0,59.987038,322839.0,,,,
19201,304.54553,739.54553,167.0,167.0,278.0,705.0,59.808243,322857.0,,,,
19202,305.14435,740.14435,167.0,167.0,278.0,704.0,60.24092,322871.0,,,,
19203,305.74316,740.74316,167.0,167.0,279.0,704.0,59.906155,322889.0,,,,
19204,306.34198,741.342,167.0,167.0,279.0,703.0,60.099274,322905.0,,,,
19205,306.9408,741.9408,167.0,167.0,279.0,703.0,59.831886,322923.0,,,,
19206,307.5396,742.5396,167.0,167.0,279.0,702.0,59.881084,322939.0,,,,
19207,308.13843,743.1384,167.0,167.0,279.0,701.0,60.134724,322955.0,,,,
19208,308.73724,743.73724,167.0,167.0,279.0,701.0,59.984226,322972.0,,,,
19209,309.33606,744.33606,167.0,167.0,279.0,700.0,59.882557,322989.0,,,,
19210,309.93488,744.9349,167.0,167.0,279.0,699.0,60.015934,323005.0,,,,
19211,310.5337,745.5337,167.0,167.0,280.0,699.0,59.961796,323023.0,,,,
19212,311.1325,746.1325,167.0,167.0,280.0,698.0,59.80808,323041.0,,,,
19213,311.73132,746.7313,167.0,167.0,280.0,698.0,59.95885,323057.0,,,,
19214,312.33014,747.33014,167.0,167.0,280.0,697.0,59.9361,323073.0,,,,
19215,312.92896,747.92896,167.0,167.0,280.0,696.0,60.205727,323088.0,,,,
19216,313.52777,748.5278,167.0,167.0,280.0,696.0,59.72743,323108.0,,,,
19217,314.1266,749.1266,167.0,167.0,280.0,695.0,59.937767,323123.0,,,,
19218,314.7254,749.7254,167.0,167.0,280.0,694.0,60.2237,323138.0,,,,
19219,315.32422,750.3242,167.0,167.0,281.0,694.0,60.12867,323155.0,,,,
19220,315.92303,750.92303,167.0,167.0,281.0,693.0,59.684574,323175.0,,,,
19221,316.52185,751.52185,167.0,167.0,281.0,693.0,60.31669,323188.0,,,,
19222,317.12067,752.12067,167.0,167.0,281.0,692.0,59.674534,323208.0,,,,
19223,317.71948,752.7195,167.0,167.0,281.0,691.0,60.11638,323222.0,,,,
19224,318.3183,753.3183,167.0,167.0,281.0,691.0,60.024055,323239.0,,,,
19225,318.9171,753.9171,167.0,167.0,281.0,690.0,60.122955,323256.0,,,,
19226,319.51593,754.5159,167.0,167.0,282.0,689.0,59.98818,323272.0,,,,
19227,320.11475,755.11475,167.0,167.0,282.0,689.0,60.18323,323288.0,,,,
19228,320.71356,755.71356,167.0,167.0,282.0,688.0,60.09714,323305.0,,,,
19229,321.31238,756.3124,167.0,167.0,282.0,688.0,59.782642,323324.0,,,,
19230,321.9112,756.9112,167.0,167.0,282.0,687.0,60.206947,323338.0,,,,
19231,322.51,757.51,167.0,167.0,282.0,686.0,59.798435,323357.0,,,,
19232,323.10883,758.1088,167.0,167.0,283.0,686.0,60.245316,323371.0,,,,
