frame,x,y,IOIx,IOIy,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = false
793,0.01,0.01,10000.0,10000.0,59.995224,16087.0,,,,
794,0.02,0.02,10000.0,10000.0,58.371426,16096.0,,,,
795,0.03,0.03,10000.0,10000.0,58.30681,16111.0,,,,
796,0.04,0.04,10000.0,10000.0,58.32278,16127.0,,,,
797,0.049999997,0.049999997,10000.0,10000.0,58.492924,16143.0,,,,
798,0.059999995,0.059999995,10000.0,10000.0,58.47497,16161.0,,,,
799,0.06999999,0.06999999,10000.0,10000.0,58.523552,16177.0,,,,
800,0.07999999,0.07999999,10000.0,10000.0,58.700714,16193.0,,,,
801,0.08999999,0.08999999,10000.0,10000.0,58.405483,16213.0,,,,
802,0.09999999,0.09999999,10000.0,10000.0,58.87969,16226.0,,,,
803,0.109999985,0.109999985,10000.0,10000.0,58.933407,16243.0,,,,
804,0.11999998,0.11999998,10000.0,10000.0,58.534557,16262.0,,,,
805,0.12999998,0.12999998,10000.0,10000.0,58.70071,16278.0,,,,
806,0.13999999,0.13999999,10000.0,10000.0,59.07272,16293.0,,,,
807,0.14999999,0.14999999,10000.0,10000.0,59.056087,16310.0,,,,
808,0.16,0.16,10000.0,10000.0,58.85426,16328.0,,,,
809,0.17,0.17,10000.0,10000.0,59.08403,16344.0,,,,
810,0.18,0.18,10000.0,10000.0,59.20712,16360.0,,,,
811,0.19000001,0.19000001,10000.0,10000.0,59.356678,16376.0,,,,
812,0.20000002,0.20000002,10000.0,10000.0,59.311867,16393.0,,,,
813,0.21000002,0.21000002,10000.0,10000.0,59.419254,16410.0,,,,
814,0.22000003,0.22000003,10000.0,10000.0,59.000145,16430.0,,,,
815,0.23000003,0.23000003,10000.0,10000.0,59.2899,16445.0,,,,
816,0.24000004,0.24000004,10000.0,10000.0,59.08798,16462.0,,,,
817,0.25000003,0.25000003,10000.0,10000.0,59.34786,16478.0,,,,
818,0.26000002,0.26000002,10000.0,10000.0,59.257454,16495.0,,,,
819,0.27,0.27,10000.0,10000.0,59.14025,16513.0,,,,
820,0.28,0.28,10000.0,10000.0,59.69509,16526.0,,,,
821,0.29,0.29,10000.0,10000.0,59.47333,16544.0,,,,
822,0.29999998,0.29999998,10000.0,10000.0,59.639828,16560.0,,,,
823,0.30999997,0.30999997,10000.0,10000.0,59.75647,16576.0,,,,
824,0.31999996,0.31999996,10000.0,10000.0,59.222717,16596.0,,,,
825,0.32999995,0.32999995,10000.0,10000.0,59.65633,16610.0,,,,
826,0.33999994,0.33999994,10000.0,10000.0,59.82909,16626.0,,,,
827,0.34999993,0.34999993,10000.0,10000.0,59.595768,16644.0,,,,
828,0.35999992,0.35999992,10000.0,10000.0,59.50144,16661.0,,,,
829,0.36999992,0.36999992,10000.0,10000.0,59.39361,16679.0,,,,
830,0.3799999,0.3799999,10000.0,10000.0,59.853115,16693.0,,,,
831,0.3899999,0.3899999,10000.0,10000.0,59.941418,16709.0,,,,
832,0.3999999,0.3999999,10000.0,10000.0,59.916046,16726.0,,,,
833,0.40999988,0.40999988,10000.0,10000.0,59.867157,16743.0,,,,
834,0.41999987,0.41999987,10000.0,10000.0,59.4881,16762.0,,,,
835,0.42999986,0.42999986,10000.0,10000.0,59.748993,16777.0,,,,
836,0.43999985,0.43999985,10000.0,10000.0,59.583916,16795.0,,,,
837,0.44999984,0.44999984,10000.0,10000.0,59.827446,16811.0,,,,
838,0.45999983,0.45999983,10000.0,10000.0,59.624985,16828.0,,,,
839,0.46999982,0.46999982,10000.0,10000.0,59.848392,16843.0,,,,
840,0.4799998,0.4799998,10000.0,10000.0,59.98764,16860.0,,,,
841,0.4899998,0.4899998,10000.0,10000.0,59.67119,16878.0,,,,
842,0.4999998,0.4999998,10000.0,10000.0,59.953827,16893.0,,,,
843,0.5099998,0.5099998,10000.0,10000.0,59.556725,16912.0,,,,
844,0.5199998,0.5199998,10000.0,10000.0,59.864323,16927.0,,,,
845,0.5299998,0.5299998,10000.0,10000.0,60.01949,16943.0,,,,
846,0.5399998,0.5399998,10000.0,10000.0,59.92767,16961.0,,,,
847,0.5499998,0.5499998,10000.0,10000.0,60.02663,16977.0,,,,
848,0.55999976,0.55999976,10000.0,10000.0,59.828514,16995.0,,,,
849,0.56999975,0.56999975,10000.0,10000.0,59.92653,17010.0,,,,
850,0.57999974,0.57999974,10000.0,10000.0,60.085815,17026.0,,,,
851,0.58999974,0.58999974,10000.0,10000.0,59.930904,17044.0,,,,
852,0.5999997,0.5999997,10000.0,10000.0,60.12256,17059.0,,,,
853,0.6099997,0.6099997,10000.0,10000.0,59.877903,17077.0,,,,
854,0.6199997,0.6199997,10000.0,10000.0,59.995983,17093.0,,,,
855,0.6299997,0.6299997,10000.0,10000.0,59.928608,17111.0,,,,
856,0.6399997,0.6399997,10000.0,10000.0,60.04643,17126.0,,,,
857,0.6499997,0.6499997,10000.0,10000.0,59.680267,17145.0,,,,
858,0.65999967,0.65999967,10000.0,10000.0,59.937935,17160.0,,,,
859,0.66999966,0.66999966,10000.0,10000.0,59.647427,17179.0,,,,
860,0.67999965,0.67999965,10000.0,10000.0,60.03702,17193.0,,,,
861,0.68999964,0.68999964,10000.0,10000.0,59.96991,17211.0,,,,
862,0.69999963,0.69999963,10000.0,10000.0,60.0847,17226.0,,,,
863,0.7099996,0.7099996,10000.0,10000.0,59.648643,17246.0,,,,
864,0.7199996,0.7199996,10000.0,10000.0,59.98527,17261.0,,,,
865,0.7299996,0.7299996,10000.0,10000.0,60.09355,17276.0,,,,
866,0.7399996,0.7399996,10000.0,10000.0,59.85111,17295.0,,,,
867,0.7499996,0.7499996,10000.0,10000.0,59.7045,17312.0,,,,
868,0.7599996,0.7599996,10000.0,10000.0,59.780926,17328.0,,,,
869,0.76999956,0.76999956,10000.0,10000.0,60.072445,17343.0,,,,
870,0.77999955,0.77999955,10000.0,10000.0,59.79961,17362.0,,,,
871,0.78999954,0.78999954,10000.0,10000.0,59.800537,17378.0,,,,
872,0.79999954,0.79999954,10000.0,10000.0,59.904335,17395.0,,,,
873,0.8099995,0.8099995,10000.0,10000.0,59.700367,17412.0,,,,
874,0.8199995,0.8199995,10000.0,10000.0,59.71379,17429.0,,,,
875,0.8299995,0.8299995,10000.0,10000.0,60.243896,17442.0,,,,
876,0.8399995,0.8399995,10000.0,10000.0,59.57566,17463.0,,,,
877,0.8499995,0.8499995,10000.0,10000.0,60.023064,17477.0,,,,
878,0.8599995,0.8599995,10000.0,10000.0,60.106064,17494.0,,,,
879,0.86999947,0.86999947,10000.0,10000.0,60.093983,17510.0,,,,
880,0.87999946,0.87999946,10000.0,10000.0,59.833607,17529.0,,,,
881,0.88999945,0.88999945,10000.0,10000.0,60.131493,17544.0,,,,
882,0.89999944,0.89999944,10000.0,10000.0,60.05568,17561.0,,,,
883,0.90999943,0.90999943,10000.0,10000.0,59.826107,17578.0,,,,
884,0.9199994,0.9199994,10000.0,10000.0,60.134193,17593.0,,,,
885,0.9299994,0.9299994,10000.0,10000.0,59.904778,17611.0,,,,
886,0.9399994,0.9399994,10000.0,10000.0,59.84398,17628.0,,,,
887,0.9499994,0.9499994,10000.0,10000.0,60.142548,17644.0,,,,
888,0.9599994,0.9599994,10000.0,10000.0,60.05979,17661.0,,,,
889,0.9699994,0.9699994,10000.0,10000.0,60.16945,17677.0,,,,
890,0.97999936,0.97999936,10000.0,10000.0,60.119633,17693.0,,,,
891,0.98999935,0.98999935,10000.0,10000.0,59.805805,17712.0,,,,
892,0.99999934,0.99999934,10000.0,10000.0,59.84631,17728.0,,,,
893,1.0099994,1.0099994,10000.0,10000.0,59.954433,17744.0,,,,
894,1.0199994,1.0199994,10000.0,10000.0,60.054615,17761.0,,,,
895,1.0299994,1.0299994,10000.0,10000.0,60.19012,17777.0,,,,
896,1.0399994,1.0399994,10000.0,10000.0,59.823185,17795.0,,,,
897,1.0499994,1.0499994,10000.0,10000.0,59.71061,17812.0,,,,
898,1.0599993,1.0599993,10000.0,10000.0,60.208523,17827.0,,,,
899,1.0699993,1.0699993,10000.0,10000.0,60.144707,17843.0,,,,
900,1.0799993,1.0799993,10000.0,10000.0,60.037888,17860.0,,,,
901,1.0899993,1.0899993,10000.0,10000.0,60.128178,17876.0,,,,
902,1.0999993,1.0999993,10000.0,10000.0,59.942085,17894.0,,,,
903,1.1099993,1.1099993,10000.0,10000.0,59.83808,17911.0,,,,
904,1.1199993,1.1199993,10000.0,10000.0,60.185734,17926.0,,,,
905,1.1299993,1.1299993,10000.0,10000.0,60.120594,17943.0,,,,
906,1.1399993,1.1399993,10000.0,10000.0,59.81745,17962.0,,,,
907,1.1499993,1.1499993,10000.0,10000.0,60.06509,17977.0,,,,
908,1.1599993,1.1599993,10000.0,10000.0,60.214752,17993.0,,,,
909,1.1699992,1.1699992,10000.0,10000.0,59.863346,18011.0,,,,
910,1.1799992,1.1799992,10000.0,10000.0,59.96049,18027.0,,,,
911,1.1899992,1.1899992,10000.0,10000.0,60.119637,18043.0,,,,
912,1.1999992,1.1999992,10000.0,10000.0,59.817204,18062.0,,,,
913,1.2099992,1.2099992,10000.0,10000.0,60.03043,18077.0,,,,
914,1.2199992,1.2199992,10000.0,10000.0,59.938183,18095.0,,,,
915,1.2299992,1.2299992,10000.0,10000.0,60.048103,18110.0,,,,
916,1.2399992,1.2399992,10000.0,10000.0,60.188263,18126.0,,,,
917,1.2499992,1.2499992,10000.0,10000.0,60.023323,18144.0,,,,
918,1.2599992,1.2599992,10000.0,10000.0,60.042896,18161.0,,,,
919,1.2699991,1.2699991,10000.0,10000.0,59.988857,18177.0,,,,
920,1.2799991,1.2799991,10000.0,10000.0,60.111546,18193.0,,,,
921,1.2899991,1.2899991,10000.0,10000.0,60.036198,18211.0,,,,
922,1.2999991,1.2999991,10000.0,10000.0,59.987316,18228.0,,,,
923,1.3099991,1.3099991,10000.0,10000.0,60.06364,18243.0,,,,
924,1.3199991,1.3199991,10000.0,10000.0,60.08805,18260.0,,,,
925,1.3299991,1.3299991,10000.0,10000.0,59.79412,18279.0,,,,
926,1.3399991,1.3399991,10000.0,10000.0,60.112442,18293.0,,,,
927,1.3499991,1.3499991,10000.0,10000.0,60.04072,18310.0,,,,
