frame,x,y,IOIx,IOIy,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = true
1380,0.01,0.01,10000.0,10000.0,59.764103,29500.0,,,,
1381,0.02,0.02,10000.0,10000.0,58.271378,29508.0,,,,
1382,0.03,0.03,10000.0,10000.0,58.209522,29524.0,,,,
1383,0.04,0.04,10000.0,10000.0,57.95972,29542.0,,,,
1384,0.049999997,0.049999997,10000.0,10000.0,58.30646,29557.0,,,,
1385,0.059999995,0.059999995,10000.0,10000.0,58.407112,29573.0,,,,
1386,0.06999999,0.06999999,10000.0,10000.0,58.529247,29589.0,,,,
1387,0.07999999,0.07999999,10000.0,10000.0,58.287632,29608.0,,,,
1388,0.08999999,0.08999999,10000.0,10000.0,58.72528,29623.0,,,,
1389,0.09999999,0.09999999,10000.0,10000.0,58.42149,29641.0,,,,
1390,0.109999985,0.109999985,10000.0,10000.0,58.44733,29658.0,,,,
1391,0.11999998,0.11999998,10000.0,10000.0,58.968224,29672.0,,,,
1392,0.12999998,0.12999998,10000.0,10000.0,58.987453,29689.0,,,,
1393,0.13999999,0.13999999,10000.0,10000.0,59.050648,29706.0,,,,
1394,0.14999999,0.14999999,10000.0,10000.0,59.075817,29723.0,,,,
1395,0.16,0.16,10000.0,10000.0,58.882122,29740.0,,,,
1396,0.17,0.17,10000.0,10000.0,59.087463,29756.0,,,,
1397,0.18,0.18,10000.0,10000.0,58.903755,29774.0,,,,
1398,0.19000001,0.19000001,10000.0,10000.0,59.24752,29789.0,,,,
1399,0.20000002,0.20000002,10000.0,10000.0,59.37884,29805.0,,,,
1400,0.21000002,0.21000002,10000.0,10000.0,59.276203,29823.0,,,,
1401,0.22000003,0.22000003,10000.0,10000.0,59.23095,29840.0,,,,
1402,0.23000003,0.23000003,10000.0,10000.0,59.44996,29856.0,,,,
1403,0.24000004,0.24000004,10000.0,10000.0,59.46651,29872.0,,,,
1404,0.25000003,0.25000003,10000.0,10000.0,59.247864,29891.0,,,,
1405,0.26000002,0.26000002,10000.0,10000.0,59.50986,29906.0,,,,
1406,0.27,0.27,10000.0,10000.0,59.56887,29922.0,,,,
1407,0.28,0.28,10000.0,10000.0,59.651817,29938.0,,,,
1408,0.29,0.29,10000.0,10000.0,59.535313,29956.0,,,,
1409,0.29999998,0.29999998,10000.0,10000.0,59.636234,29972.0,,,,
1410,0.30999997,0.30999997,10000.0,10000.0,59.67671,29988.0,,,,
1411,0.31999996,0.31999996,10000.0,10000.0,59.721905,30006.0,,,,
1412,0.32999995,0.32999995,10000.0,10000.0,59.315666,30024.0,,,,
1413,0.33999994,0.33999994,10000.0,10000.0,59.681213,30039.0,,,,
1414,0.34999993,0.34999993,10000.0,10000.0,59.725586,30055.0,,,,
1415,0.35999992,0.35999992,10000.0,10000.0,59.755127,30072.0,,,,
1416,0.36999992,0.36999992,10000.0,10000.0,59.691566,30089.0,,,,
1417,0.3799999,0.3799999,10000.0,10000.0,59.779373,30105.0,,,,
1418,0.3899999,0.3899999,10000.0,10000.0,59.70756,30122.0,,,,
1419,0.3999999,0.3999999,10000.0,10000.0,59.82859,30138.0,,,,
1420,0.40999988,0.40999988,10000.0,10000.0,59.469948,30157.0,,,,
1421,0.41999987,0.41999987,10000.0,10000.0,59.639694,30173.0,,,,
1422,0.42999986,0.42999986,10000.0,10000.0,59.87085,30189.0,,,,
1423,0.43999985,0.43999985,10000.0,10000.0,59.729496,30206.0,,,,
1424,0.44999984,0.44999984,10000.0,10000.0,59.727123,30223.0,,,,
1425,0.45999983,0.45999983,10000.0,10000.0,59.86553,30239.0,,,,
1426,0.46999982,0.46999982,10000.0,10000.0,59.86084,30256.0,,,,
1427,0.4799998,0.4799998,10000.0,10000.0,59.65076,30273.0,,,,
1428,0.4899998,0.4899998,10000.0,10000.0,59.9006,30289.0,,,,
1429,0.4999998,0.4999998,10000.0,10000.0,59.888435,30305.0,,,,
1430,0.5099998,0.5099998,10000.0,10000.0,59.877163,30323.0,,,,
1431,0.5199998,0.5199998,10000.0,10000.0,59.907753,30339.0,,,,
1432,0.5299998,0.5299998,10000.0,10000.0,59.829857,30357.0,,,,
1433,0.5399998,0.5399998,10000.0,10000.0,59.57425,30375.0,,,,
1434,0.5499998,0.5499998,10000.0,10000.0,59.821022,30390.0,,,,
1435,0.55999976,0.55999976,10000.0,10000.0,59.61742,30408.0,,,,
1436,0.56999975,0.56999975,10000.0,10000.0,59.590664,30424.0,,,,
1437,0.57999974,0.57999974,10000.0,10000.0,59.97789,30439.0,,,,
1438,0.58999974,0.58999974,10000.0,10000.0,59.910683,30457.0,,,,
1439,0.5999997,0.5999997,10000.0,10000.0,59.970116,30473.0,,,,
1440,0.6099997,0.6099997,10000.0,10000.0,59.988632,30489.0,,,,
1441,0.6199997,0.6199997,10000.0,10000.0,59.936844,30506.0,,,,
1442,0.6299997,0.6299997,10000.0,10000.0,59.55203,30525.0,,,,
