frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1920,H = 1080,taps = 2
141578,1622.5454,435.50748,-220.0,-67.0,1627.0,415.0,59.987564,2361511.0,,,
141579,1622.0908,434.01495,-220.0,-67.0,1627.0,416.0,60.055782,2361527.0,,,
141580,1621.6362,432.52243,-220.0,-67.0,1627.0,416.0,60.011684,2361544.0,,,
141581,1621.1816,431.0299,-220.0,-67.0,1627.0,417.0,59.951355,2361561.0,,,
141582,1620.727,429.53738,-220.0,-67.0,1627.0,418.0,59.901043,2361578.0,,,
141583,1620.2725,428.04486,-220.0,-67.0,1627.0,418.0,60.031704,2361594.0,,,
141584,1619.8179,426.55234,-220.0,-67.0,1626.0,419.0,59.7819,2361612.0,,,
141585,1619.3633,425.0598,-220.0,-67.0,1626.0,419.0,60.100224,2361627.0,,,
141586,1618.9087,423.5673,-220.0,-67.0,1626.0,420.0,59.870796,2361645.0,,,
141587,1618.4541,422.07477,-220.0,-67.0,1626.0,421.0,60.00563,2361661.0,,,
141588,1617.9995,420.58224,-220.0,-67.0,1626.0,421.0,59.947357,2361678.0,,,
141589,1617.5449,419.08972,-220.0,-67.0,1626.0,422.0,60.07795,2361694.0,,,
141590,1617.0903,417.5972,-220.0,-67.0,1626.0,423.0,60.02718,2361711.0,,,
141591,1616.6357,416.10468,-220.0,-67.0,1626.0,423.0,59.964264,2361728.0,,,
141592,1616.1812,414.61215,-220.0,-67.0,1626.0,424.0,60.093052,2361744.0,,,
141593,1615.7266,413.11963,-220.0,-67.0,1626.0,425.0,60.03406,2361761.0,,,
141594,1615.272,411.6271,-220.0,-67.0,1625.0,425.0,59.98059,2361778.0,,,
141595,1614.8174,410.13458,-220.0,-67.0,1625.0,426.0,59.92394,2361795.0,,,
141596,1614.3628,408.64206,-220.0,-67.0,1625.0,427.0,60.056072,2361811.0,,,
141597,1613.9082,407.14954,-220.0,-67.0,1625.0,427.0,60.001335,2361828.0,,,
141598,1613.4536,405.657,-220.0,-67.0,1625.0,428.0,59.939907,2361845.0,,,
141599,1612.999,404.1645,-220.0,-67.0,1625.0,429.0,59.888157,2361862.0,,,
141600,1612.5444,402.67197,-220.0,-67.0,1625.0,429.0,60.024593,2361878.0,,,
141601,1612.0898,401.17944,-220.0,-67.0,1625.0,430.0,60.145306,2361894.0,,,
141602,1611.6353,399.68692,-220.0,-67.0,1625.0,430.0,59.89948,2361912.0,,,
141603,1611.1807,398.1944,-220.0,-67.0,1624.0,431.0,60.031525,2361928.0,,,
141604,1610.7261,396.70187,-220.0,-67.0,1624.0,432.0,59.797943,2361946.0,,,
141605,1610.2715,395.20935,-220.0,-67.0,1624.0,432.0,60.113514,2361961.0,,,
141606,1609.8169,393.71683,-220.0,-67.0,1624.0,433.0,59.870472,2361979.0,,,
141607,1609.3623,392.2243,-220.0,-67.0,1624.0,434.0,60.004314,2361994.0,,,
141608,1608.9077,390.73178,-220.0,-67.0,1624.0,434.0,59.9515,2362011.0,,,
141609,1608.4531,389.23926,-220.0,-67.0,1624.0,435.0,59.89291,2362028.0,,,
141610,1607.9985,387.74673,-220.0,-67.0,1624.0,436.0,60.026085,2362044.0,,,
141611,1607.544,386.2542,-220.0,-67.0,1623.0,436.0,60.151978,2362060.0,,,
141612,1607.0894,384.7617,-220.0,-67.0,1623.0,437.0,60.09296,2362077.0,,,
141613,1606.6348,383.26917,-220.0,-67.0,1623.0,438.0,59.84498,2362095.0,,,
141614,1606.1802,381.77664,-220.0,-67.0,1623.0,438.0,60.161438,2362110.0,,,
141615,1605.7256,380.28412,-220.0,-67.0,1623.0,439.0,60.09364,2362127.0,,,
141616,1605.271,378.7916,-220.0,-67.0,1623.0,440.0,60.047234,2362144.0,,,
141617,1604.8164,377.29907,-220.0,-67.0,1623.0,441.0,60.162502,2362160.0,,,
141618,1604.3618,375.80655,-220.0,-67.0,1623.0,441.0,59.929737,2362178.0,,,
141619,1603.9072,374.31403,-220.0,-67.0,1622.0,442.0,59.874516,2362195.0,,,
141620,1603.4526,372.8215,-220.0,-67.0,1622.0,443.0,60.013054,2362211.0,,,
141621,1602.998,371.32898,-220.0,-67.0,1622.0,443.0,59.94349,2362228.0,,,
141622,1602.5435,369.83646,-220.0,-67.0,1622.0,444.0,60.073067,2362244.0,,,
141623,1602.0889,368.34393,-220.0,-67.0,1622.0,445.0,60.198353,2362260.0,,,
141624,1601.6343,366.8514,-220.0,-67.0,1622.0,445.0,59.95654,2362278.0,,,
141625,1601.1797,365.3589,-220.0,-67.0,1622.0,446.0,60.087467,2362294.0,,,
141626,1600.7251,363.86636,-220.0,-67.0,1621.0,447.0,60.021217,2362311.0,,,
141627,1600.2705,362.37384,-220.0,-67.0,1621.0,447.0,59.97454,2362328.0,,,
141628,1599.8159,360.88132,-220.0,-67.0,1621.0,448.0,59.923786,2362345.0,,,
141629,1599.3613,359.3888,-220.0,-67.0,1621.0,449.0,59.876488,2362362.0,,,
141630,1598.9067,357.89627,-220.0,-67.0,1621.0,449.0,60.190475,2362377.0,,,
141631,1598.4521,356.40375,-220.0,-67.0,1621.0,450.0,59.94563,2362395.0,,,
141632,1597.9976,354.91122,-220.0,-67.0,1621.0,451.0,59.95515,2362411.0,,,
141633,1597.543,353.4187,-220.0,-67.0,1621.0,451.0,59.91304,2362428.0,,,
141634,1597.0884,351.92618,-220.0,-67.0,1620.0,452.0,60.0372,2362444.0,,,
141635,1596.6338,350.43365,-220.0,-67.0,1620.0,453.0,60.160427,2362460.0,,,
141636,1596.1792,348.94113,-220.0,-67.0,1620.0,453.0,59.744003,2362479.0,,,
141637,1595.7246,347.4486,-220.0,-67.0,1620.0,454.0,60.065067,2362494.0,,,
141638,1595.27,345.9561,-220.0,-67.0,1620.0,455.0,60.00947,2362511.0,,,
141639,1594.8154,344.46356,-220.0,-67.0,1620.0,455.0,59.75683,2362530.0,,,
141640,1594.3608,342.97104,-220.0,-67.0,1620.0,456.0,60.081802,2362544.0,,,
141641,1593.9062,341.47852,-220.0,-67.0,1619.0,457.0,60.010265,2362561.0,,,
141642,1593.4517,339.986,-220.0,-67.0,1619.0,457.0,60.143703,2362577.0,,,
141643,1592.9971,338.49347,-220.0,-67.0,1619.0,458.0,59.717636,2362596.0,,,
141644,1592.5425,337.00095,-220.0,-67.0,1619.0,459.0,60.10053,2362611.0,,,
141645,1592.0879,335.50842,-220.0,-67.0,1619.0,459.0,60.043995,2362628.0,,,
141646,1591.6333,334.0159,-220.0,-67.0,1619.0,460.0,60.170418,2362644.0,,,
141647,1591.1787,332.52338,-220.0,-67.0,1618.0,461.0,60.10441,2362660.0,,,
141648,1590.7241,331.03085,-220.0,-67.0,1618.0,461.0,60.044468,2362677.0,,,
141649,1590.2695,329.53833,-220.0,-67.0,1618.0,462.0,59.996056,2362694.0,,,
141650,1589.815,328.0458,-220.0,-67.0,1618.0,463.0,60.123707,2362710.0,,,
