frame,x,y,IOIx,IOIy,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = false
1819,0.01,0.01,10000.0,10000.0,59.93334,33179.0,,,,
1820,0.02,0.02,10000.0,10000.0,58.676266,33188.0,,,,
1821,0.03,0.03,10000.0,10000.0,58.53856,33204.0,,,,
1822,0.04,0.04,10000.0,10000.0,58.494118,33220.0,,,,
1823,0.049999997,0.049999997,10000.0,10000.0,58.586967,33236.0,,,,
1824,0.059999995,0.059999995,10000.0,10000.0,58.365303,33255.0,,,,
1825,0.06999999,0.06999999,10000.0,10000.0,58.52683,33272.0,,,,
1826,0.07999999,0.07999999,10000.0,10000.0,58.70139,33288.0,,,,
1827,0.08999999,0.08999999,10000.0,10000.0,58.98642,33303.0,,,,
1828,0.09999999,0.09999999,10000.0,10000.0,58.980957,33319.0,,,,
1829,0.109999985,0.109999985,10000.0,10000.0,59.146976,33335.0,,,,
1830,0.11999998,0.11999998,10000.0,10000.0,59.11933,33353.0,,,,
1831,0.12999998,0.12999998,10000.0,10000.0,59.269863,33369.0,,,,
1832,0.13999999,0.13999999,10000.0,10000.0,59.26937,33385.0,,,,
1833,0.14999999,0.14999999,10000.0,10000.0,59.24292,33402.0,,,,
1834,0.16,0.16,10000.0,10000.0,59.226627,33420.0,,,,
1835,0.17,0.17,10000.0,10000.0,59.381798,33435.0,,,,
1836,0.18,0.18,10000.0,10000.0,59.40029,33452.0,,,,
1837,0.19000001,0.19000001,10000.0,10000.0,59.496983,33468.0,,,,
1838,0.20000002,0.20000002,10000.0,10000.0,59.184185,33487.0,,,,
1839,0.21000002,0.21000002,10000.0,10000.0,59.174007,33504.0,,,,
1840,0.22000003,0.22000003,10000.0,10000.0,59.225353,33520.0,,,,
1841,0.23000003,0.23000003,10000.0,10000.0,59.12404,33538.0,,,,
1842,0.24000004,0.24000004,10000.0,10000.0,59.522346,33553.0,,,,
1843,0.25000003,0.25000003,10000.0,10000.0,59.689667,33569.0,,,,
1844,0.26000002,0.26000002,10000.0,10000.0,59.63456,33586.0,,,,
1845,0.27,0.27,10000.0,10000.0,59.500862,33604.0,,,,
1846,0.28,0.28,10000.0,10000.0,59.593906,33619.0,,,,
1847,0.29,0.29,10000.0,10000.0,59.318165,33637.0,,,,
1848,0.29999998,0.29999998,10000.0,10000.0,59.703747,33652.0,,,,
1849,0.30999997,0.30999997,10000.0,10000.0,59.661884,33669.0,,,,
1850,0.31999996,0.31999996,10000.0,10000.0,59.824036,33685.0,,,,
1851,0.32999995,0.32999995,10000.0,10000.0,59.744183,33702.0,,,,
1852,0.33999994,0.33999994,10000.0,10000.0,59.76311,33718.0,,,,
1853,0.34999993,0.34999993,10000.0,10000.0,59.74527,33735.0,,,,
1854,0.35999992,0.35999992,10000.0,10000.0,59.528484,33753.0,,,,
1855,0.36999992,0.36999992,10000.0,10000.0,59.882023,33768.0,,,,
1856,0.3799999,0.3799999,10000.0,10000.0,59.331852,33789.0,,,,
1857,0.3899999,0.3899999,10000.0,10000.0,59.524292,33804.0,,,,
1858,0.3999999,0.3999999,10000.0,10000.0,59.813114,33819.0,,,,
1859,0.40999988,0.40999988,10000.0,10000.0,59.978264,33835.0,,,,
1860,0.41999987,0.41999987,10000.0,10000.0,59.8416,33852.0,,,,
1861,0.42999986,0.42999986,10000.0,10000.0,59.71535,33871.0,,,,
1862,0.43999985,0.43999985,10000.0,10000.0,59.92728,33886.0,,,,
1863,0.44999984,0.44999984,10000.0,10000.0,59.820793,33903.0,,,,
1864,0.45999983,0.45999983,10000.0,10000.0,59.637955,33920.0,,,,
1865,0.46999982,0.46999982,10000.0,10000.0,59.782776,33936.0,,,,
1866,0.4799998,0.4799998,10000.0,10000.0,59.901455,33953.0,,,,
1867,0.4899998,0.4899998,10000.0,10000.0,60.022358,33969.0,,,,
1868,0.4999998,0.4999998,10000.0,10000.0,59.975155,33985.0,,,,
1869,0.5099998,0.5099998,10000.0,10000.0,59.91881,34002.0,,,,
1870,0.5199998,0.5199998,10000.0,10000.0,59.58312,34021.0,,,,
1871,0.5299998,0.5299998,10000.0,10000.0,59.611694,34038.0,,,,
1872,0.5399998,0.5399998,10000.0,10000.0,59.94668,34052.0,,,,
1873,0.5499998,0.5499998,10000.0,10000.0,59.83767,34070.0,,,,
1874,0.55999976,0.55999976,10000.0,10000.0,59.87732,34086.0,,,,
1875,0.56999975,0.56999975,10000.0,10000.0,59.997314,34102.0,,,,
1876,0.57999974,0.57999974,10000.0,10000.0,60.08401,34118.0,,,,
1877,0.58999974,0.58999974,10000.0,10000.0,59.743164,34137.0,,,,
1878,0.5999997,0.5999997,10000.0,10000.0,59.98933,34152.0,,,,
1879,0.6099997,0.6099997,10000.0,10000.0,60.120876,34168.0,,,,
1880,0.6199997,0.6199997,10000.0,10000.0,59.858425,34187.0,,,,
1881,0.6299997,0.6299997,10000.0,10000.0,59.982502,34202.0,,,,
1882,0.6399997,0.6399997,10000.0,10000.0,60.125053,34218.0,,,,
1883,0.6499997,0.6499997,10000.0,10000.0,59.850388,34236.0,,,,
1884,0.65999967,0.65999967,10000.0,10000.0,59.9712,34253.0,,,,
1885,0.66999966,0.66999966,10000.0,10000.0,59.95024,34269.0,,,,
1886,0.67999965,0.67999965,10000.0,10000.0,60.04638,34286.0,,,,
1887,0.68999964,0.68999964,10000.0,10000.0,60.08126,34302.0,,,,
1888,0.69999963,0.69999963,10000.0,10000.0,60.0632,34319.0,,,,
1889,0.7099996,0.7099996,10000.0,10000.0,59.86821,34336.0,,,,
1890,0.7199996,0.7199996,10000.0,10000.0,59.970142,34353.0,,,,
1891,0.7299996,0.7299996,10000.0,10000.0,59.94313,34370.0,,,,
1892,0.7399996,0.7399996,10000.0,10000.0,60.056038,34385.0,,,,
1893,0.7499996,0.7499996,10000.0,10000.0,59.988194,34402.0,,,,
1894,0.7599996,0.7599996,10000.0,10000.0,59.933636,34419.0,,,,
1895,0.76999956,0.76999956,10000.0,10000.0,59.877766,34436.0,,,,
1896,0.77999955,0.77999955,10000.0,10000.0,59.58986,34455.0,,,,
1897,0.78999954,0.78999954,10000.0,10000.0,59.81181,34470.0,,,,
1898,0.79999954,0.79999954,10000.0,10000.0,60.110504,34485.0,,,,
1899,0.8099995,0.8099995,10000.0,10000.0,60.01873,34503.0,,,,
1900,0.8199995,0.8199995,10000.0,10000.0,60.14189,34518.0,,,,
1901,0.8299995,0.8299995,10000.0,10000.0,60.074554,34535.0,,,,
1902,0.8399995,0.8399995,10000.0,10000.0,60.009518,34552.0,,,,
1903,0.8499995,0.8499995,10000.0,10000.0,59.963684,34569.0,,,,
1904,0.8599995,0.8599995,10000.0,10000.0,59.900654,34586.0,,,,
1905,0.86999947,0.86999947,10000.0,10000.0,60.05338,34602.0,,,,
1906,0.87999946,0.87999946,10000.0,10000.0,60.12928,34619.0,,,,
1907,0.88999945,0.88999945,10000.0,10000.0,59.933132,34637.0,,,,
1908,0.89999944,0.89999944,10000.0,10000.0,60.00085,34653.0,,,,
1909,0.90999943,0.90999943,10000.0,10000.0,59.76364,34671.0,,,,
1910,0.9199994,0.9199994,10000.0,10000.0,60.09592,34685.0,,,,
1911,0.9299994,0.9299994,10000.0,10000.0,60.021107,34702.0,,,,
1912,0.9399994,0.9399994,10000.0,10000.0,59.9706,34719.0,,,,
1913,0.9499994,0.9499994,10000.0,10000.0,59.90466,34736.0,,,,
1914,0.9599994,0.9599994,10000.0,10000.0,60.022934,34752.0,,,,
1915,0.9699994,0.9699994,10000.0,10000.0,60.12471,34769.0,,,,
