frame,x,y,IOIx,IOIy,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = true
2461,0.01,0.01,10000.0,10000.0,60.242363,46821.0,,,,
2462,0.02,0.02,10000.0,10000.0,60.168556,46830.0,,,,
2463,0.03,0.03,10000.0,10000.0,59.960827,46847.0,,,,
2464,0.04,0.04,10000.0,10000.0,60.01067,46864.0,,,,
2465,0.049999997,0.049999997,10000.0,10000.0,60.173443,46879.0,,,,
2466,0.059999995,0.059999995,10000.0,10000.0,59.897045,46898.0,,,,
2467,0.06999999,0.06999999,10000.0,10000.0,60.154907,46913.0,,,,
2468,0.07999999,0.07999999,10000.0,10000.0,59.94292,46931.0,,,,
2469,0.08999999,0.08999999,10000.0,10000.0,59.903797,46948.0,,,,
2470,0.09999999,0.09999999,10000.0,10000.0,60.164906,46963.0,,,,
2471,0.109999985,0.109999985,10000.0,10000.0,59.68141,46982.0,,,,
2472,0.11999998,0.11999998,10000.0,10000.0,59.916363,46997.0,,,,
2473,0.12999998,0.12999998,10000.0,10000.0,60.16391,47012.0,,,,
2474,0.13999999,0.13999999,10000.0,10000.0,59.952286,47030.0,,,,
2475,0.14999999,0.14999999,10000.0,10000.0,59.913162,47047.0,,,,
2476,0.16,0.16,10000.0,10000.0,59.91969,47064.0,,,,
2477,0.17,0.17,10000.0,10000.0,59.817028,47080.0,,,,
2478,0.18,0.18,10000.0,10000.0,59.815296,47097.0,,,,
2479,0.19000001,0.19000001,10000.0,10000.0,60.034508,47113.0,,,,
2480,0.20000002,0.20000002,10000.0,10000.0,60.22242,47128.0,,,,
2481,0.21000002,0.21000002,10000.0,10000.0,59.92523,47146.0,,,,
2482,0.22000003,0.22000003,10000.0,10000.0,60.2044,47161.0,,,,
2483,0.23000003,0.23000003,10000.0,10000.0,60.218117,47178.0,,,,
2484,0.24000004,0.24000004,10000.0,10000.0,59.980198,47196.0,,,,
2485,0.25000003,0.25000003,10000.0,10000.0,59.89896,47213.0,,,,
2486,0.26000002,0.26000002,10000.0,10000.0,59.992912,47229.0,,,,
2487,0.27,0.27,10000.0,10000.0,59.92018,47246.0,,,,
2488,0.28,0.28,10000.0,10000.0,60.052906,47262.0,,,,
2489,0.29,0.29,10000.0,10000.0,59.99106,47279.0,,,,
2490,0.29999998,0.29999998,10000.0,10000.0,59.91346,47296.0,,,,
2491,0.30999997,0.30999997,10000.0,10000.0,60.025,47312.0,,,,
2492,0.31999996,0.31999996,10000.0,10000.0,59.972424,47329.0,,,,
2493,0.32999995,0.32999995,10000.0,10000.0,59.949333,47346.0,,,,
2494,0.33999994,0.33999994,10000.0,10000.0,59.753437,47364.0,,,,
2495,0.34999993,0.34999993,10000.0,10000.0,59.976597,47380.0,,,,
2496,0.35999992,0.35999992,10000.0,10000.0,59.93444,47396.0,,,,
2497,0.36999992,0.36999992,10000.0,10000.0,60.196037,47412.0,,,,
2498,0.3799999,0.3799999,10000.0,10000.0,59.948532,47430.0,,,,
2499,0.3899999,0.3899999,10000.0,10000.0,59.925148,47447.0,,,,
2500,0.3999999,0.3999999,10000.0,10000.0,59.90897,47464.0,,,,
2501,0.40999988,0.40999988,10000.0,10000.0,59.868183,47480.0,,,,
2502,0.41999987,0.41999987,10000.0,10000.0,59.963074,47496.0,,,,
2503,0.42999986,0.42999986,10000.0,10000.0,60.191772,47512.0,,,,
2504,0.43999985,0.43999985,10000.0,10000.0,60.189995,47528.0,,,,
2505,0.44999984,0.44999984,10000.0,10000.0,59.92135,47547.0,,,,
2506,0.45999983,0.45999983,10000.0,10000.0,59.892567,47564.0,,,,
2507,0.46999982,0.46999982,10000.0,10000.0,60.16054,47579.0,,,,
2508,0.4799998,0.4799998,10000.0,10000.0,59.93469,47597.0,,,,
2509,0.4899998,0.4899998,10000.0,10000.0,59.95922,47613.0,,,,
2510,0.4999998,0.4999998,10000.0,10000.0,60.186684,47628.0,,,,
2511,0.5099998,0.5099998,10000.0,10000.0,60.175797,47645.0,,,,
2512,0.5199998,0.5199998,10000.0,10000.0,59.925762,47663.0,,,,
2513,0.5299998,0.5299998,10000.0,10000.0,60.18657,47678.0,,,,
2514,0.5399998,0.5399998,10000.0,10000.0,59.555775,47698.0,,,,
2515,0.5499998,0.5499998,10000.0,10000.0,60.194702,47712.0,,,,
2516,0.55999976,0.55999976,10000.0,10000.0,59.90394,47730.0,,,,
2517,0.56999975,0.56999975,10000.0,10000.0,59.857693,47747.0,,,,
2518,0.57999974,0.57999974,10000.0,10000.0,59.9757,47763.0,,,,
2519,0.58999974,0.58999974,10000.0,10000.0,60.254326,47778.0,,,,
2520,0.5999997,0.5999997,10000.0,10000.0,59.91794,47797.0,,,,
2521,0.6099997,0.6099997,10000.0,10000.0,60.1714,47812.0,,,,
2522,0.6199997,0.6199997,10000.0,10000.0,59.76878,47831.0,,,,
2523,0.6299997,0.6299997,10000.0,10000.0,59.92947,47846.0,,,,
2524,0.6399997,0.6399997,10000.0,10000.0,59.891098,47863.0,,,,
2525,0.6499997,0.6499997,10000.0,10000.0,60.174835,47878.0,,,,
2526,0.65999967,0.65999967,10000.0,10000.0,59.629868,47898.0,,,,
2527,0.66999966,0.66999966,10000.0,10000.0,60.203358,47912.0,,,,
2528,0.67999965,0.67999965,10000.0,10000.0,60.131577,47929.0,,,,
2529,0.68999964,0.68999964,10000.0,10000.0,59.938206,47946.0,,,,
2530,0.69999963,0.69999963,10000.0,10000.0,60.194496,47962.0,,,,
2531,0.7099996,0.7099996,10000.0,10000.0,59.89172,47980.0,,,,
2532,0.7199996,0.7199996,10000.0,10000.0,59.93178,47996.0,,,,
2533,0.7299996,0.7299996,10000.0,10000.0,60.19343,48012.0,,,,
2534,0.7399996,0.7399996,10000.0,10000.0,59.974506,48029.0,,,,
2535,0.7499996,0.7499996,10000.0,10000.0,59.95085,48046.0,,,,
2536,0.7599996,0.7599996,10000.0,10000.0,60.186222,48062.0,,,,
2537,0.76999956,0.76999956,10000.0,10000.0,60.106895,48079.0,,,,
2538,0.77999955,0.77999955,10000.0,10000.0,59.912506,48097.0,,,,
2539,0.78999954,0.78999954,10000.0,10000.0,59.91037,48113.0,,,,
2540,0.79999954,0.79999954,10000.0,10000.0,59.96425,48129.0,,,,
2541,0.8099995,0.8099995,10000.0,10000.0,59.930717,48146.0,,,,
2542,0.8199995,0.8199995,10000.0,10000.0,60.183437,48162.0,,,,
2543,0.8299995,0.8299995,10000.0,10000.0,59.963024,48179.0,,,,
2544,0.8399995,0.8399995,10000.0,10000.0,59.934128,48196.0,,,,
2545,0.8499995,0.8499995,10000.0,10000.0,60.19742,48212.0,,,,
2546,0.8599995,0.8599995,10000.0,10000.0,60.12878,48229.0,,,,
2547,0.86999947,0.86999947,10000.0,10000.0,60.146744,48245.0,,,,
2548,0.87999946,0.87999946,10000.0,10000.0,60.117607,48262.0,,,,
2549,0.88999945,0.88999945,10000.0,10000.0,59.864258,48280.0,,,,
2550,0.89999944,0.89999944,10000.0,10000.0,59.89436,48297.0,,,,
2551,0.90999943,0.90999943,10000.0,10000.0,60.160343,48312.0,,,,
2552,0.9199994,0.9199994,10000.0,10000.0,60.067024,48329.0,,,,
2553,0.9299994,0.9299994,10000.0,10000.0,59.897373,48346.0,,,,
2554,0.9399994,0.9399994,10000.0,10000.0,59.9305,48363.0,,,,
2555,0.9499994,0.9499994,10000.0,10000.0,60.063435,48379.0,,,,
2556,0.9599994,0.9599994,10000.0,10000.0,59.731213,48398.0,,,,
2557,0.9699994,0.9699994,10000.0,10000.0,60.167175,48412.0,,,,
2558,0.97999936,0.97999936,10000.0,10000.0,59.94808,48430.0,,,,
2559,0.98999935,0.98999935,10000.0,10000.0,59.902718,48447.0,,,,
2560,0.99999934,0.99999934,10000.0,10000.0,59.890633,48464.0,,,,
2561,1.0099994,1.0099994,10000.0,10000.0,60.125256,48479.0,,,,
2562,1.0199994,1.0199994,10000.0,10000.0,59.915977,48496.0,,,,
2563,1.0299994,1.0299994,10000.0,10000.0,59.931957,48513.0,,,,
2564,1.0399994,1.0399994,10000.0,10000.0,60.163956,48528.0,,,,
2565,1.0499994,1.0499994,10000.0,10000.0,59.655197,48548.0,,,,
2566,1.0599993,1.0599993,10000.0,10000.0,60.032135,48562.0,,,,
2567,1.0699993,1.0699993,10000.0,10000.0,60.11959,48579.0,,,,
2568,1.0799993,1.0799993,10000.0,10000.0,59.925728,48596.0,,,,
2569,1.0899993,1.0899993,10000.0,10000.0,60.178913,48612.0,,,,
2570,1.0999993,1.0999993,10000.0,10000.0,60.01121,48629.0,,,,
2571,1.1099993,1.1099993,10000.0,10000.0,59.902782,48647.0,,,,
2572,1.1199993,1.1199993,10000.0,10000.0,59.686844,48664.0,,,,
2573,1.1299993,1.1299993,10000.0,10000.0,60.19174,48678.0,,,,
2574,1.1399993,1.1399993,10000.0,10000.0,59.93272,48696.0,,,,
2575,1.1499993,1.1499993,10000.0,10000.0,59.925045,48713.0,,,,
2576,1.1599993,1.1599993,10000.0,10000.0,60.167046,48728.0,,,,
2577,1.1699992,1.1699992,10000.0,10000.0,60.068905,48746.0,,,,
2578,1.1799992,1.1799992,10000.0,10000.0,59.95036,48763.0,,,,
2579,1.1899992,1.1899992,10000.0,10000.0,59.97755,48779.0,,,,
2580,1.1999992,1.1999992,10000.0,10000.0,59.952568,48796.0,,,,
2581,1.2099992,1.2099992,10000.0,10000.0,60.24076,48811.0,,,,
2582,1.2199992,1.2199992,10000.0,10000.0,59.960175,48829.0,,,,
2583,1.2299992,1.2299992,10000.0,10000.0,59.909748,48847.0,,,,
2584,1.2399992,1.2399992,10000.0,10000.0,59.946705,48863.0,,,,
2585,1.2499992,1.2499992,10000.0,10000.0,60.116745,48879.0,,,,
2586,1.2599992,1.2599992,10000.0,10000.0,59.926918,48896.0,,,,
2587,1.2699991,1.2699991,10000.0,10000.0,60.181858,48912.0,,,,
2588,1.2799991,1.2799991,10000.0,10000.0,59.966892,48930.0,,,,
2589,1.2899991,1.2899991,10000.0,10000.0,59.929237,48946.0,,,,
2590,1.2999991,1.2999991,10000.0,10000.0,60.172863,48962.0,,,,
2591,1.3099991,1.3099991,10000.0,10000.0,59.944805,48979.0,,,,
2592,1.3199991,1.3199991,10000.0,10000.0,59.945663,48996.0,,,,
2593,1.3299991,1.3299991,10000.0,10000.0,59.946297,49013.0,,,,
2594,1.3399991,1.3399991,10000.0,10000.0,60.17516,49028.0,,,,
2595,1.3499991,1.3499991,10000.0,10000.0,59.717022,49047.0,,,,
2596,1.3599991,1.3599991,10000.0,10000.0,60.19223,49061.0,,,,
2597,1.369999,1.369999,10000.0,10000.0,59.4925,49082.0,,,,
2598,1.379999,1.379999,10000.0,10000.0,59.93591,49097.0,,,,
2599,1.389999,1.389999,10000.0,10000.0,59.960583,49113.0,,,,
2600,1.399999,1.399999,10000.0,10000.0,60.010326,49129.0,,,,
2601,1.409999,1.409999,10000.0,10000.0,59.9846,49146.0,,,,
2602,1.419999,1.419999,10000.0,10000.0,59.866356,49163.0,,,,
2603,1.429999,1.429999,10000.0,10000.0,59.98621,49180.0,,,,
2604,1.439999,1.439999,10000.0,10000.0,60.214012,49195.0,,,,
2605,1.449999,1.449999,10000.0,10000.0,60.03568,49213.0,,,,
2606,1.459999,1.459999,10000.0,10000.0,59.98212,49230.0,,,,
2607,1.469999,1.469999,10000.0,10000.0,59.940315,49246.0,,,,
2608,1.479999,1.479999,10000.0,10000.0,60.208366,49262.0,,,,
2609,1.4899989,1.4899989,10000.0,10000.0,59.95646,49280.0,,,,
2610,1.4999989,1.4999989,10000.0,10000.0,59.93096,49297.0,,,,
2611,1.5099989,1.5099989,10000.0,10000.0,60.18501,49312.0,,,,
2612,1.5199989,1.5199989,10000.0,10000.0,59.96507,49330.0,,,,
2613,1.5299989,1.5299989,10000.0,10000.0,60.1827,49345.0,,,,
2614,1.5399989,1.5399989,10000.0,10000.0,60.1782,49362.0,,,,
2615,1.5499989,1.5499989,10000.0,10000.0,60.103806,49379.0,,,,
2616,1.5599989,1.5599989,10000.0,10000.0,60.14752,49395.0,,,,
2617,1.5699989,1.5699989,10000.0,10000.0,60.13722,49420.0,,,,
2618,1.5799989,1.5799989,10000.0,10000.0,59.98785,49431.0,,,,
2619,1.5899988,1.5899988,10000.0,10000.0,59.899372,49447.0,,,,
2620,1.5999988,1.5999988,10000.0,10000.0,59.972195,49463.0,,,,
2621,1.6099988,1.6099988,10000.0,10000.0,59.982906,49480.0,,,,
2622,1.6199988,1.6199988,10000.0,10000.0,59.66846,49499.0,,,,
2623,1.6299988,1.6299988,10000.0,10000.0,60.02354,49514.0,,,,
2624,1.6399988,1.6399988,10000.0,10000.0,60.20457,49529.0,,,,
2625,1.6499988,1.6499988,10000.0,10000.0,59.868916,49547.0,,,,
2626,1.6599988,1.6599988,10000.0,10000.0,60.014206,49563.0,,,,
2627,1.6699988,1.6699988,10000.0,10000.0,59.98977,49580.0,,,,
2628,1.6799988,1.6799988,10000.0,10000.0,59.620316,49599.0,,,,
2629,1.6899987,1.6899987,10000.0,10000.0,60.071358,49613.0,,,,
2630,1.6999987,1.6999987,10000.0,10000.0,59.980312,49630.0,,,,
2631,1.7099987,1.7099987,10000.0,10000.0,59.967327,49647.0,,,,
2632,1.7199987,1.7199987,10000.0,10000.0,59.947926,49663.0,,,,
2633,1.7299987,1.7299987,10000.0,10000.0,60.19987,49678.0,,,,
2634,1.7399987,1.7399987,10000.0,10000.0,59.71912,49698.0,,,,
2635,1.7499987,1.7499987,10000.0,10000.0,59.959137,49713.0,,,,
2636,1.7599987,1.7599987,10000.0,10000.0,60.136486,49729.0,,,,
2637,1.7699987,1.7699987,10000.0,10000.0,60.1938,49745.0,,,,
2638,1.7799987,1.7799987,10000.0,10000.0,60.175903,49762.0,,,,
2639,1.7899987,1.7899987,10000.0,10000.0,60.067146,49779.0,,,,
2640,1.7999986,1.7999986,10000.0,10000.0,59.725037,49798.0,,,,
2641,1.8099986,1.8099986,10000.0,10000.0,60.177956,49812.0,,,,
2642,1.8199986,1.8199986,10000.0,10000.0,59.884663,49831.0,,,,
2643,1.8299986,1.8299986,10000.0,10000.0,59.926353,49847.0,,,,
2644,1.8399986,1.8399986,10000.0,10000.0,59.993015,49863.0,,,,
2645,1.8499986,1.8499986,10000.0,10000.0,60.005363,49879.0,,,,
2646,1.8599986,1.8599986,10000.0,10000.0,59.9303,49896.0,,,,
2647,1.8699986,1.8699986,10000.0,10000.0,59.996315,49913.0,,,,
2648,1.8799986,1.8799986,10000.0,10000.0,59.9187,49930.0,,,,
2649,1.8899986,1.8899986,10000.0,10000.0,59.944096,49946.0,,,,
2650,1.8999985,1.8999985,10000.0,10000.0,59.71125,49964.0,,,,
2651,1.9099985,1.9099985,10000.0,10000.0,60.022587,49979.0,,,,
2652,1.9199985,1.9199985,10000.0,10000.0,59.959118,49997.0,,,,
2653,1.9299985,1.9299985,10000.0,10000.0,59.97633,50013.0,,,,
2654,1.9399985,1.9399985,10000.0,10000.0,60.00033,50030.0,,,,
2655,1.9499985,1.9499985,10000.0,10000.0,60.01871,50046.0,,,,
2656,1.9599985,1.9599985,10000.0,10000.0,59.98205,50064.0,,,,
2657,1.9699985,1.9699985,10000.0,10000.0,60.000626,50080.0,,,,
2658,1.9799985,1.9799985,10000.0,10000.0,59.961494,50097.0,,,,
2659,1.9899985,1.9899985,10000.0,10000.0,60.21493,50112.0,,,,
2660,1.9999985,1.9999985,10000.0,10000.0,59.990494,50130.0,,,,
2661,2.0099986,2.0099986,10000.0,10000.0,59.974617,50146.0,,,,
2662,2.0199986,2.0199986,10000.0,10000.0,59.96945,50164.0,,,,
2663,2.0299985,2.0299985,10000.0,10000.0,59.99663,50180.0,,,,
2664,2.0399985,2.0399985,643.0,10000.0,59.927658,50197.0,,,,
2665,2.1955194,2.0499985,643.0,10000.0,59.975266,50213.0,,,,
2666,2.3510404,2.0599985,643.0,10000.0,59.606277,50232.0,,,,
2667,2.5065613,2.0699985,643.0,10000.0,59.97844,50247.0,,,,
2668,2.6620822,2.0799985,643.0,10000.0,59.995518,50263.0,,,,
2669,2.817603,2.0899985,643.0,10000.0,60.22633,50279.0,,,,
