frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = true
20888,276.63635,712.5747,-275.0,174.0,274.0,733.0,59.98327,353986.0,,,,
20889,276.2727,713.1494,-275.0,174.0,274.0,732.0,59.93028,354003.0,,,,
20890,275.90906,713.7241,-275.0,174.0,274.0,731.0,59.858154,354021.0,,,,
20891,275.5454,714.2988,-275.0,174.0,274.0,731.0,59.99465,354037.0,,,,
20892,275.18176,714.87354,-275.0,174.0,274.0,730.0,60.19587,354053.0,,,,
20893,274.8181,715.44824,-275.0,174.0,274.0,730.0,60.112087,354069.0,,,,
20894,274.45447,716.02295,-275.0,174.0,274.0,729.0,60.213734,354085.0,,,,
20895,274.09082,716.59766,-275.0,174.0,274.0,729.0,59.727535,354105.0,,,,
20896,273.72717,717.17236,-275.0,174.0,274.0,728.0,60.018036,354120.0,,,,
20897,273.36353,717.7471,-275.0,174.0,274.0,727.0,59.72911,354138.0,,,,
20898,272.99988,718.3218,-275.0,174.0,274.0,727.0,60.001938,354154.0,,,,
20899,272.63623,718.8965,-275.0,174.0,274.0,726.0,60.125793,354169.0,,,,
20900,272.27258,719.4712,-275.0,174.0,275.0,726.0,60.21632,354185.0,,,,
20901,271.90894,720.0459,-275.0,174.0,275.0,725.0,60.217575,354202.0,,,,
20902,271.5453,720.6206,-275.0,174.0,275.0,724.0,60.28754,354218.0,,,,
20903,271.18164,721.1953,-275.0,174.0,275.0,724.0,60.21456,354235.0,,,,
20904,270.818,721.77,-275.0,174.0,275.0,723.0,59.958817,354253.0,,,,
20905,270.45435,722.3447,-275.0,174.0,275.0,723.0,60.004368,354269.0,,,,
20906,270.0907,722.91943,-275.0,174.0,275.0,722.0,59.93529,354286.0,,,,
20907,269.72705,723.49414,-275.0,174.0,275.0,721.0,59.83462,354304.0,,,,
20908,269.3634,724.06885,-275.0,174.0,275.0,721.0,60.086384,354319.0,,,,
20909,268.99976,724.64355,-275.0,174.0,275.0,720.0,59.94346,354337.0,,,,
20910,268.6361,725.21826,-275.0,174.0,276.0,719.0,60.189247,354352.0,,,,
20911,268.27246,725.79297,-275.0,174.0,276.0,719.0,60.05982,354370.0,,,,
20912,267.9088,726.3677,-275.0,174.0,276.0,718.0,60.10893,354386.0,,,,
20913,267.54517,726.9424,-275.0,174.0,276.0,718.0,59.979427,354403.0,,,,
20914,267.18152,727.5171,-275.0,174.0,276.0,717.0,59.850597,354420.0,,,,
20915,266.81787,728.0918,-275.0,174.0,276.0,716.0,59.936382,354436.0,,,,
20916,266.45422,728.6665,-275.0,174.0,276.0,716.0,60.151077,354452.0,,,,
20917,266.09058,729.2412,-275.0,174.0,276.0,715.0,59.722015,354471.0,,,,
20918,265.72693,729.8159,-275.0,174.0,277.0,715.0,59.9554,354486.0,,,,
20919,265.36328,730.3906,-275.0,174.0,277.0,714.0,60.04126,354503.0,,,,
20920,264.99963,730.96533,-275.0,174.0,277.0,713.0,59.728,354521.0,,,,
20921,264.636,731.54004,-275.0,174.0,277.0,713.0,59.905613,354537.0,,,,
20922,264.27234,732.11475,-275.0,174.0,277.0,712.0,60.17361,354552.0,,,,
20923,263.9087,732.68945,-275.0,174.0,277.0,711.0,59.800842,354571.0,,,,
20924,263.54504,733.26416,-275.0,174.0,277.0,711.0,60.217525,354585.0,,,,
20925,263.1814,733.83887,-275.0,174.0,277.0,710.0,59.965626,354603.0,,,,
20926,262.81775,734.4136,-275.0,174.0,277.0,710.0,60.15424,354618.0,,,,
20927,262.4541,734.9883,-275.0,174.0,278.0,709.0,59.957966,354636.0,,,,
20928,262.09045,735.563,-275.0,174.0,278.0,708.0,59.87484,354653.0,,,,
20929,261.7268,736.1377,-275.0,174.0,278.0,708.0,60.087208,354669.0,,,,
20930,261.36316,736.7124,-275.0,174.0,278.0,707.0,59.773506,354688.0,,,,
20931,260.9995,737.2871,-275.0,174.0,278.0,706.0,60.1783,354702.0,,,,
20932,260.63586,737.8618,-275.0,174.0,278.0,706.0,60.285965,354718.0,,,,
20933,260.27222,738.4365,-275.0,174.0,278.0,705.0,60.21944,354734.0,,,,
20934,259.90857,739.0112,-275.0,174.0,278.0,704.0,59.95726,354753.0,,,,
20935,259.54492,739.58594,-275.0,174.0,279.0,704.0,59.963226,354769.0,,,,
20936,259.18127,740.16064,-275.0,174.0,279.0,703.0,59.836292,354787.0,,,,
20937,258.81763,740.73535,-275.0,174.0,279.0,703.0,59.87582,354803.0,,,,
20938,258.45398,741.31006,-275.0,174.0,279.0,702.0,60.095165,354819.0,,,,
