frame,x,y,IOIx,IOIy,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = false
666,0.01,0.01,10000.0,10000.0,59.58112,16854.0,,,,
667,0.02,0.02,10000.0,10000.0,58.371475,16863.0,,,,
668,0.03,0.03,10000.0,10000.0,58.23149,16878.0,,,,
669,0.04,0.04,10000.0,10000.0,58.25192,16895.0,,,,
670,0.049999997,0.049999997,10000.0,10000.0,58.48696,16910.0,,,,
671,0.059999995,0.059999995,10000.0,10000.0,58.523117,16927.0,,,,
672,0.06999999,0.06999999,10000.0,10000.0,58.599045,16944.0,,,,
673,0.07999999,0.07999999,10000.0,10000.0,58.715042,16960.0,,,,
674,0.08999999,0.08999999,10000.0,10000.0,58.47693,16979.0,,,,
675,0.09999999,0.09999999,10000.0,10000.0,58.74273,16994.0,,,,
676,0.109999985,0.109999985,10000.0,10000.0,58.568768,17012.0,,,,
677,0.11999998,0.11999998,10000.0,10000.0,58.759933,17028.0,,,,
678,0.12999998,0.12999998,10000.0,10000.0,59.113815,17043.0,,,,
679,0.13999999,0.13999999,10000.0,10000.0,58.913254,17061.0,,,,
680,0.14999999,0.14999999,10000.0,10000.0,58.716946,17079.0,,,,
681,0.16,0.16,10000.0,10000.0,59.00778,17095.0,,,,
682,0.17,0.17,10000.0,10000.0,59.258568,17110.0,,,,
683,0.18,0.18,10000.0,10000.0,58.82431,17129.0,,,,
684,0.19000001,0.19000001,10000.0,10000.0,59.24436,17144.0,,,,
685,0.20000002,0.20000002,10000.0,10000.0,59.48328,17159.0,,,,
686,0.21000002,0.21000002,10000.0,10000.0,58.950863,17180.0,,,,
687,0.22000003,0.22000003,10000.0,10000.0,59.131157,17196.0,,,,
688,0.23000003,0.23000003,10000.0,10000.0,59.477737,17210.0,,,,
689,0.24000004,0.24000004,10000.0,10000.0,59.095795,17229.0,,,,
690,0.25000003,0.25000003,10000.0,10000.0,59.393486,17245.0,,,,
691,0.26000002,0.26000002,10000.0,10000.0,59.61154,17260.0,,,,
692,0.27,0.27,10000.0,10000.0,59.668713,17276.0,,,,
693,0.28,0.28,10000.0,10000.0,59.223022,17295.0,,,,
694,0.29,0.29,10000.0,10000.0,59.68855,17309.0,,,,
695,0.29999998,0.29999998,10000.0,10000.0,59.70086,17326.0,,,,
696,0.30999997,0.30999997,10000.0,10000.0,59.60808,17343.0,,,,
697,0.31999996,0.31999996,10000.0,10000.0,59.465923,17361.0,,,,
698,0.32999995,0.32999995,10000.0,10000.0,59.71343,17377.0,,,,
699,0.33999994,0.33999994,10000.0,10000.0,59.245262,17396.0,,,,
700,0.34999993,0.34999993,10000.0,10000.0,59.824406,17409.0,,,,
701,0.35999992,0.35999992,10000.0,10000.0,59.587803,17427.0,,,,
702,0.36999992,0.36999992,10000.0,10000.0,59.935406,17442.0,,,,
703,0.3799999,0.3799999,10000.0,10000.0,59.855865,17460.0,,,,
704,0.3899999,0.3899999,10000.0,10000.0,59.67907,17477.0,,,,
705,0.3999999,0.3999999,10000.0,10000.0,59.75554,17493.0,,,,
706,0.40999988,0.40999988,10000.0,10000.0,59.44202,17512.0,,,,
707,0.41999987,0.41999987,10000.0,10000.0,59.86245,17526.0,,,,
708,0.42999986,0.42999986,10000.0,10000.0,59.991566,17542.0,,,,
709,0.43999985,0.43999985,10000.0,10000.0,59.749996,17560.0,,,,
710,0.44999984,0.44999984,10000.0,10000.0,59.88055,17576.0,,,,
711,0.45999983,0.45999983,10000.0,10000.0,59.863895,17593.0,,,,
712,0.46999982,0.46999982,10000.0,10000.0,59.90715,17610.0,,,,
713,0.4799998,0.4799998,10000.0,10000.0,59.84418,17627.0,,,,
714,0.4899998,0.4899998,10000.0,10000.0,59.79676,17644.0,,,,
