frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1920,H = 1080,taps = 2
75377,1623.5952,437.0639,168.0,1565.0,1627.0,415.0,60.105427,1258170.0,,,
75378,1624.1904,437.1278,168.0,1565.0,1627.0,416.0,60.051704,1258187.0,,,
75379,1624.7856,437.1917,168.0,1565.0,1627.0,416.0,59.807465,1258205.0,,,
75380,1625.3809,437.2556,168.0,1565.0,1627.0,417.0,59.945408,1258221.0,,,
75381,1625.9761,437.31952,168.0,1565.0,1627.0,418.0,60.074375,1258237.0,,,
75382,1626.5713,437.38342,168.0,1565.0,1627.0,418.0,59.999336,1258254.0,,,
75383,1627.1665,437.44733,168.0,1565.0,1626.0,419.0,59.96195,1258271.0,,,
75384,1627.7617,437.51123,168.0,1565.0,1626.0,419.0,60.096584,1258287.0,,,
75385,1628.3569,437.57513,168.0,1565.0,1626.0,420.0,60.036003,1258304.0,,,
75386,1628.9521,437.63904,168.0,1565.0,1626.0,421.0,59.987125,1258321.0,,,
75387,1629.5474,437.70294,168.0,1565.0,1626.0,421.0,60.109856,1258337.0,,,
75388,1630.1426,437.76685,168.0,1565.0,1626.0,422.0,59.686573,1258356.0,,,
75389,1630.7378,437.83075,168.0,1565.0,1626.0,423.0,60.01035,1258371.0,,,
75390,1631.333,437.89465,168.0,1565.0,1626.0,423.0,60.136547,1258387.0,,,
75391,1631.9282,437.95856,168.0,1565.0,1626.0,424.0,60.081272,1258404.0,,,
75392,1632.5234,438.02246,168.0,1565.0,1626.0,425.0,59.91283,1258421.0,,,
75393,1633.1187,438.08636,168.0,1565.0,1625.0,425.0,60.060097,1258437.0,,,
75394,1633.7139,438.15027,168.0,1565.0,1625.0,426.0,60.004,1258454.0,,,
75395,1634.3091,438.21417,168.0,1565.0,1625.0,427.0,60.132317,1258470.0,,,
75396,1634.9043,438.27808,168.0,1565.0,1625.0,427.0,60.073128,1258487.0,,,
75397,1635.4995,438.34198,168.0,1565.0,1625.0,428.0,60.012466,1258504.0,,,
75398,1636.0947,438.40588,168.0,1565.0,1625.0,429.0,59.965973,1258521.0,,,
75399,1636.69,438.4698,168.0,1565.0,1625.0,429.0,60.09519,1258537.0,,,
75400,1637.2852,438.5337,168.0,1565.0,1625.0,430.0,60.03776,1258554.0,,,
75401,1637.8804,438.5976,168.0,1565.0,1625.0,430.0,60.165035,1258570.0,,,
75402,1638.4756,438.6615,168.0,1565.0,1624.0,431.0,59.92189,1258588.0,,,
75403,1639.0708,438.7254,168.0,1565.0,1624.0,432.0,59.8798,1258605.0,,,
75404,1639.666,438.7893,168.0,1565.0,1624.0,432.0,60.00297,1258621.0,,,
75405,1640.2612,438.8532,168.0,1565.0,1624.0,433.0,60.13824,1258637.0,,,
75406,1640.8564,438.9171,168.0,1565.0,1624.0,434.0,60.067486,1258654.0,,,
75407,1641.4517,438.98102,168.0,1565.0,1624.0,434.0,60.017582,1258671.0,,,
75408,1642.0469,439.04492,168.0,1565.0,1624.0,435.0,59.965267,1258688.0,,,
75409,1642.6421,439.10883,168.0,1565.0,1624.0,436.0,60.094894,1258703.0,,,
75410,1643.2373,439.17273,168.0,1565.0,1623.0,436.0,60.034473,1258720.0,,,
75411,1643.8325,439.23663,168.0,1565.0,1623.0,437.0,59.98163,1258737.0,,,
75412,1644.4277,439.30054,168.0,1565.0,1623.0,438.0,59.93137,1258754.0,,,
75413,1645.023,439.36444,168.0,1565.0,1623.0,438.0,59.879,1258771.0,,,
75414,1645.6182,439.42834,168.0,1565.0,1623.0,439.0,60.017227,1258787.0,,,
75415,1646.2134,439.49225,168.0,1565.0,1623.0,440.0,60.143867,1258803.0,,,
75416,1646.8086,439.55615,168.0,1565.0,1623.0,441.0,60.07695,1258820.0,,,
75417,1647.4038,439.62006,168.0,1565.0,1623.0,441.0,60.02153,1258837.0,,,
75418,1647.999,439.68396,168.0,1565.0,1622.0,442.0,60.152805,1258853.0,,,
75419,1648.5942,439.74786,168.0,1565.0,1622.0,443.0,59.913563,1258871.0,,,
75420,1649.1895,439.81177,168.0,1565.0,1622.0,443.0,60.045918,1258887.0,,,
75421,1649.7847,439.87567,168.0,1565.0,1622.0,444.0,59.991077,1258904.0,,,
75422,1650.3799,439.93958,168.0,1565.0,1622.0,445.0,60.117947,1258920.0,,,
75423,1650.9751,440.00348,168.0,1565.0,1622.0,445.0,60.060387,1258937.0,,,
75424,1651.5703,440.06738,168.0,1565.0,1622.0,446.0,60.00345,1258954.0,,,
75425,1652.1655,440.1313,168.0,1565.0,1621.0,447.0,60.045082,1258970.0,,,
75426,1652.7607,440.1952,168.0,1565.0,1621.0,447.0,59.97685,1258987.0,,,
75427,1653.356,440.2591,168.0,1565.0,1621.0,448.0,59.926674,1259004.0,,,
75428,1653.9512,440.323,168.0,1565.0,1621.0,449.0,59.883156,1259021.0,,,
75429,1654.5464,440.3869,168.0,1565.0,1621.0,449.0,60.018597,1259037.0,,,
75430,1655.1416,440.4508,168.0,1565.0,1621.0,450.0,59.952103,1259054.0,,,
75431,1655.7368,440.5147,168.0,1565.0,1621.0,451.0,59.91187,1259071.0,,,
75432,1656.332,440.5786,168.0,1565.0,1621.0,451.0,60.04111,1259087.0,,,
75433,1656.9272,440.64252,168.0,1565.0,1620.0,452.0,59.982002,1259104.0,,,
75434,1657.5225,440.70642,168.0,1565.0,1620.0,453.0,60.116135,1259120.0,,,
