frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = true
24787,277.14706,710.5507,680.0,-69.0,274.0,733.0,60.17122,415951.0,,,,
24788,277.29413,709.10144,680.0,-69.0,274.0,732.0,59.934532,415969.0,,,,
24789,277.4412,707.65216,680.0,-69.0,274.0,731.0,60.04296,415985.0,,,,
24790,277.58826,706.2029,680.0,-69.0,274.0,731.0,60.035126,416002.0,,,,
24791,277.73532,704.7536,680.0,-69.0,274.0,730.0,59.955227,416019.0,,,,
24792,277.8824,703.3043,680.0,-69.0,274.0,730.0,60.046814,416036.0,,,,
24793,278.02945,701.85504,680.0,-69.0,274.0,729.0,59.70883,416054.0,,,,
24794,278.1765,700.40576,680.0,-69.0,274.0,729.0,60.135586,416068.0,,,,
24795,278.32358,698.9565,680.0,-69.0,274.0,728.0,60.24895,416085.0,,,,
24796,278.47064,697.5072,680.0,-69.0,274.0,727.0,60.028313,416102.0,,,,
24797,278.6177,696.0579,680.0,-69.0,274.0,727.0,59.92699,416120.0,,,,
24798,278.76477,694.60864,680.0,-69.0,274.0,726.0,59.929012,416136.0,,,,
24799,278.91183,693.15936,680.0,-69.0,275.0,726.0,59.932316,416153.0,,,,
24800,279.0589,691.7101,680.0,-69.0,275.0,725.0,60.02535,416169.0,,,,
24801,279.20596,690.2608,680.0,-69.0,275.0,724.0,60.027206,416186.0,,,,
24802,279.35303,688.8115,680.0,-69.0,275.0,724.0,60.03083,416203.0,,,,
24803,279.5001,687.36224,680.0,-69.0,275.0,723.0,59.933376,416220.0,,,,
24804,279.64716,685.91296,680.0,-69.0,275.0,723.0,59.932697,416237.0,,,,
24805,279.79422,684.4637,680.0,-69.0,275.0,722.0,60.18545,416252.0,,,,
24806,279.94128,683.0144,680.0,-69.0,275.0,721.0,60.027275,416269.0,,,,
24807,280.08835,681.5651,680.0,-69.0,275.0,721.0,59.91825,416286.0,,,,
24808,280.2354,680.11584,680.0,-69.0,275.0,720.0,60.03101,416302.0,,,,
24809,280.38248,678.66656,680.0,-69.0,276.0,719.0,60.02879,416319.0,,,,
24810,280.52954,677.2173,680.0,-69.0,276.0,719.0,59.797478,416337.0,,,,
24811,280.6766,675.768,680.0,-69.0,276.0,718.0,60.164753,416352.0,,,,
24812,280.82367,674.3187,680.0,-69.0,276.0,718.0,60.032673,416369.0,,,,
24813,280.97073,672.86945,680.0,-69.0,276.0,717.0,60.013668,416386.0,,,,
24814,281.1178,671.42017,680.0,-69.0,276.0,716.0,59.85767,416404.0,,,,
24815,281.26486,669.9709,680.0,-69.0,276.0,716.0,60.040577,416420.0,,,,
24816,281.41193,668.5216,680.0,-69.0,276.0,715.0,60.22255,416435.0,,,,
