frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = true
63627,276.59515,711.8305,-247.0,-590.0,274.0,733.0,60.264156,1066394.0,,,,
63628,276.1903,711.661,-247.0,-590.0,274.0,732.0,60.16358,1066411.0,,,,
63629,275.78546,711.4915,-247.0,-590.0,274.0,731.0,60.03435,1066429.0,,,,
63630,275.3806,711.322,-247.0,-590.0,274.0,731.0,60.250126,1066444.0,,,,
63631,274.97577,711.1525,-247.0,-590.0,274.0,730.0,60.142864,1066461.0,,,,
63632,274.57092,710.98303,-247.0,-590.0,274.0,730.0,59.829765,1066480.0,,,,
63633,274.16608,710.81354,-247.0,-590.0,274.0,729.0,60.01566,1066495.0,,,,
63634,273.76123,710.64404,-247.0,-590.0,274.0,729.0,60.380276,1066510.0,,,,
63635,273.35638,710.47455,-247.0,-590.0,274.0,728.0,60.211643,1066528.0,,,,
63636,272.95154,710.30505,-247.0,-590.0,274.0,727.0,60.097942,1066545.0,,,,
63637,272.5467,710.13556,-247.0,-590.0,274.0,727.0,59.92405,1066562.0,,,,
63638,272.14185,709.96606,-247.0,-590.0,274.0,726.0,60.07755,1066578.0,,,,
63639,271.737,709.7966,-247.0,-590.0,275.0,726.0,60.187183,1066594.0,,,,
63640,271.33215,709.6271,-247.0,-590.0,275.0,725.0,60.235374,1066611.0,,,,
63641,270.9273,709.4576,-247.0,-590.0,275.0,724.0,59.857655,1066630.0,,,,
63642,270.52246,709.2881,-247.0,-590.0,275.0,724.0,59.989048,1066645.0,,,,
63643,270.1176,709.1186,-247.0,-590.0,275.0,723.0,59.79864,1066663.0,,,,
63644,269.71277,708.9491,-247.0,-590.0,275.0,723.0,60.03613,1066678.0,,,,
63645,269.30792,708.7796,-247.0,-590.0,275.0,722.0,59.786297,1066697.0,,,,
63646,268.90308,708.6101,-247.0,-590.0,275.0,721.0,60.092323,1066712.0,,,,
63647,268.49823,708.4406,-247.0,-590.0,275.0,721.0,60.222645,1066728.0,,,,
63648,268.09338,708.2711,-247.0,-590.0,275.0,720.0,59.967926,1066746.0,,,,
63649,267.68854,708.1016,-247.0,-590.0,276.0,719.0,60.28147,1066760.0,,,,
63650,267.2837,707.9321,-247.0,-590.0,276.0,719.0,60.25399,1066777.0,,,,
63651,266.87885,707.76263,-247.0,-590.0,276.0,718.0,60.123436,1066794.0,,,,
63652,266.474,707.59314,-247.0,-590.0,276.0,718.0,59.964558,1066812.0,,,,
