frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = false
19837,1515.5952,407.53488,168.0,-215.0,1518.0,387.0,60.08579,336488.0,,,,
19838,1516.1904,407.06976,168.0,-215.0,1518.0,388.0,60.0789,336505.0,,,,
19839,1516.7856,406.60464,168.0,-215.0,1518.0,389.0,59.95786,336522.0,,,,
19840,1517.3809,406.13953,168.0,-215.0,1518.0,389.0,60.13938,336537.0,,,,
19841,1517.9761,405.6744,168.0,-215.0,1518.0,390.0,59.906963,336556.0,,,,
19842,1518.5713,405.2093,168.0,-215.0,1518.0,390.0,60.047737,336572.0,,,,
19843,1519.1665,404.74417,168.0,-215.0,1518.0,391.0,59.641674,336590.0,,,,
19844,1519.7617,404.27905,168.0,-215.0,1518.0,391.0,60.18291,336605.0,,,,
19845,1520.3569,403.81393,168.0,-215.0,1518.0,392.0,60.021076,336622.0,,,,
19846,1520.9521,403.34882,168.0,-215.0,1518.0,393.0,60.075207,336638.0,,,,
19847,1521.5474,402.8837,168.0,-215.0,1518.0,393.0,60.01742,336655.0,,,,
19848,1522.1426,402.41858,168.0,-215.0,1518.0,394.0,60.018944,336672.0,,,,
19849,1522.7378,401.95346,168.0,-215.0,1517.0,394.0,60.118805,336688.0,,,,
19850,1523.333,401.48834,168.0,-215.0,1517.0,395.0,60.19002,336704.0,,,,
19851,1523.9282,401.02322,168.0,-215.0,1517.0,396.0,60.089424,336721.0,,,,
19852,1524.5234,400.5581,168.0,-215.0,1517.0,396.0,59.709957,336740.0,,,,
19853,1525.1187,400.093,168.0,-215.0,1517.0,397.0,60.092888,336754.0,,,,
19854,1525.7139,399.62787,168.0,-215.0,1517.0,397.0,60.019615,336771.0,,,,
19855,1526.3091,399.16275,168.0,-215.0,1517.0,398.0,60.11441,336788.0,,,,
19856,1526.9043,398.69763,168.0,-215.0,1517.0,399.0,59.7246,336806.0,,,,
19857,1527.4995,398.2325,168.0,-215.0,1517.0,399.0,59.745304,336823.0,,,,
19858,1528.0947,397.7674,168.0,-215.0,1517.0,400.0,59.733387,336840.0,,,,
19859,1528.69,397.30228,168.0,-215.0,1516.0,401.0,59.967308,336856.0,,,,
19860,1529.2852,396.83716,168.0,-215.0,1516.0,401.0,60.112038,336871.0,,,,
19861,1529.8804,396.37204,168.0,-215.0,1516.0,402.0,60.14504,336888.0,,,,
19862,1530.4756,395.90692,168.0,-215.0,1516.0,402.0,60.101574,336904.0,,,,
19863,1531.0708,395.4418,168.0,-215.0,1516.0,403.0,59.986996,336922.0,,,,
19864,1531.666,394.97668,168.0,-215.0,1516.0,404.0,60.183815,336937.0,,,,
19865,1532.2612,394.51157,168.0,-215.0,1516.0,404.0,60.101757,336954.0,,,,
19866,1532.8564,394.04645,168.0,-215.0,1516.0,405.0,60.102283,336971.0,,,,
19867,1533.4517,393.58133,168.0,-215.0,1515.0,405.0,59.70406,336990.0,,,,
19868,1534.0469,393.1162,168.0,-215.0,1515.0,406.0,60.114155,337004.0,,,,
19869,1534.6421,392.6511,168.0,-215.0,1515.0,407.0,60.05396,337021.0,,,,
19870,1535.2373,392.18597,168.0,-215.0,1515.0,407.0,60.126114,337037.0,,,,
19871,1535.8325,391.72086,168.0,-215.0,1515.0,408.0,60.043056,337055.0,,,,
19872,1536.4277,391.25574,168.0,-215.0,1515.0,409.0,59.93236,337073.0,,,,
19873,1537.023,390.79062,168.0,-215.0,1515.0,409.0,59.72135,337090.0,,,,
19874,1537.6182,390.3255,168.0,-215.0,1515.0,410.0,60.111385,337104.0,,,,
19875,1538.2134,389.86038,168.0,-215.0,1515.0,410.0,60.105625,337121.0,,,,
19876,1538.8086,389.39526,168.0,-215.0,1514.0,411.0,59.973717,337138.0,,,,
19877,1539.4038,388.93015,168.0,-215.0,1514.0,412.0,60.04641,337155.0,,,,
19878,1539.999,388.46503,168.0,-215.0,1514.0,412.0,60.166466,337171.0,,,,
19879,1540.5942,387.9999,168.0,-215.0,1514.0,413.0,59.716812,337190.0,,,,
19880,1541.1895,387.5348,168.0,-215.0,1514.0,414.0,60.077827,337205.0,,,,
19881,1541.7847,387.06967,168.0,-215.0,1514.0,414.0,60.013206,337222.0,,,,
19882,1542.3799,386.60455,168.0,-215.0,1514.0,415.0,60.08336,337238.0,,,,
19883,1542.9751,386.13943,168.0,-215.0,1514.0,416.0,60.09862,337255.0,,,,
19884,1543.5703,385.67432,168.0,-215.0,1513.0,416.0,60.094704,337271.0,,,,
19885,1544.1655,385.2092,168.0,-215.0,1513.0,417.0,60.112835,337287.0,,,,
19886,1544.7607,384.74408,168.0,-215.0,1513.0,417.0,60.086243,337304.0,,,,
19887,1545.356,384.27896,168.0,-215.0,1513.0,418.0,59.952503,337322.0,,,,
19888,1545.9512,383.81384,168.0,-215.0,1513.0,419.0,59.966244,337338.0,,,,
19889,1546.5464,383.34872,168.0,-215.0,1513.0,419.0,59.95428,337355.0,,,,
19890,1547.1416,382.8836,168.0,-215.0,1513.0,420.0,60.0299,337371.0,,,,
19891,1547.7368,382.4185,168.0,-215.0,1513.0,421.0,59.906345,337389.0,,,,
19892,1548.332,381.95337,168.0,-215.0,1512.0,421.0,59.961697,337405.0,,,,
19893,1548.9272,381.48825,168.0,-215.0,1512.0,422.0,60.012516,337421.0,,,,
19894,1549.5225,381.02313,168.0,-215.0,1512.0,422.0,59.906143,337438.0,,,,
19895,1550.1177,380.558,168.0,-215.0,1512.0,423.0,59.972187,337455.0,,,,
19896,1550.7129,380.0929,168.0,-215.0,1512.0,424.0,59.97416,337472.0,,,,
19897,1551.3081,379.62778,168.0,-215.0,1512.0,424.0,59.54535,337491.0,,,,
19898,1551.9033,379.16266,168.0,-215.0,1512.0,425.0,60.121128,337504.0,,,,
19899,1552.4985,378.69754,168.0,-215.0,1512.0,426.0,60.116096,337521.0,,,,
19900,1553.0938,378.23242,168.0,-215.0,1511.0,426.0,60.000793,337538.0,,,,
19901,1553.689,377.7673,168.0,-215.0,1511.0,427.0,60.127476,337554.0,,,,
19902,1554.2842,377.3022,168.0,-215.0,1511.0,427.0,59.929955,337572.0,,,,
19903,1554.8794,376.83707,168.0,-215.0,1511.0,428.0,59.724648,337590.0,,,,
19904,1555.4746,376.37195,168.0,-215.0,1511.0,429.0,60.12074,337605.0,,,,
19905,1556.0698,375.90683,168.0,-215.0,1511.0,429.0,59.979877,337622.0,,,,
19906,1556.665,375.4417,168.0,-215.0,1511.0,430.0,60.11682,337638.0,,,,
19907,1557.2603,374.9766,168.0,-215.0,1510.0,431.0,60.109562,337654.0,,,,
19908,1557.8555,374.51147,168.0,-215.0,1510.0,431.0,59.981,337672.0,,,,
19909,1558.4507,374.04636,168.0,-215.0,1510.0,432.0,59.727592,337690.0,,,,
19910,1559.0459,373.58124,168.0,-215.0,1510.0,432.0,60.09619,337704.0,,,,
19911,1559.6411,373.11612,168.0,-215.0,1510.0,433.0,60.116913,337721.0,,,,
19912,1560.2363,372.651,168.0,-215.0,1510.0,434.0,60.055683,337738.0,,,,
19913,1560.8315,372.18588,168.0,-215.0,1509.0,434.0,59.95347,337756.0,,,,
19914,1561.4268,371.72076,168.0,-215.0,1509.0,435.0,60.108173,337771.0,,,,
19915,1562.022,371.25565,168.0,-215.0,1509.0,436.0,59.71864,337790.0,,,,
19916,1562.6172,370.79053,168.0,-215.0,1509.0,436.0,59.993435,337805.0,,,,
19917,1563.2124,370.3254,168.0,-215.0,1509.0,437.0,60.06306,337821.0,,,,
19918,1563.8076,369.8603,168.0,-215.0,1509.0,437.0,59.9883,337839.0,,,,
19919,1564.4028,369.39517,168.0,-215.0,1508.0,438.0,60.136948,337854.0,,,,
19920,1564.998,368.93005,168.0,-215.0,1508.0,439.0,60.018505,337872.0,,,,
19921,1565.5933,368.46494,168.0,-215.0,1508.0,439.0,60.133587,337887.0,,,,
19922,1566.1885,367.99982,168.0,-215.0,1508.0,440.0,59.96757,337905.0,,,,
19923,1566.7837,367.5347,168.0,-215.0,1508.0,440.0,60.008385,337922.0,,,,
19924,1567.3789,367.06958,168.0,-215.0,1508.0,441.0,60.17951,337937.0,,,,
19925,1567.9741,366.60446,168.0,-215.0,1507.0,442.0,60.030807,337955.0,,,,
19926,1568.5693,366.13934,168.0,-215.0,1507.0,442.0,60.170166,337971.0,,,,
19927,1569.1646,365.67422,168.0,-215.0,1507.0,443.0,60.087986,337988.0,,,,
19928,1569.7598,365.2091,168.0,-215.0,1507.0,444.0,59.940044,338005.0,,,,
19929,1570.355,364.744,168.0,-215.0,1507.0,444.0,59.97167,338021.0,,,,
19930,1570.9502,364.27887,168.0,-215.0,1507.0,445.0,59.704758,338040.0,,,,
19931,1571.5454,363.81375,168.0,-215.0,1507.0,446.0,60.09138,338054.0,,,,
19932,1572.1406,363.34863,168.0,-215.0,1506.0,446.0,60.042805,338071.0,,,,
19933,1572.7358,362.8835,168.0,-215.0,1506.0,447.0,60.091915,338088.0,,,,
19934,1573.331,362.4184,168.0,-215.0,1506.0,447.0,59.924927,338105.0,,,,
19935,1573.9263,361.95328,168.0,-215.0,1506.0,448.0,59.77115,338123.0,,,,
19936,1574.5215,361.48816,168.0,-215.0,1506.0,449.0,59.96172,338138.0,,,,
19937,1575.1167,361.02304,168.0,-215.0,1506.0,449.0,59.98447,338155.0,,,,
19938,1575.7119,360.55792,168.0,-215.0,1506.0,450.0,60.016487,338171.0,,,,
19939,1576.3071,360.0928,168.0,-215.0,1505.0,451.0,60.055252,338188.0,,,,
19940,1576.9023,359.6277,168.0,-215.0,1505.0,451.0,60.08159,338204.0,,,,
19941,1577.4976,359.16257,168.0,-215.0,1505.0,452.0,59.739025,338223.0,,,,
19942,1578.0928,358.69745,168.0,-215.0,1505.0,453.0,60.062935,338238.0,,,,
19943,1578.688,358.23233,168.0,-215.0,1505.0,453.0,59.984337,338255.0,,,,
19944,1579.2832,357.7672,168.0,-215.0,1505.0,454.0,60.104355,338271.0,,,,
19945,1579.8784,357.3021,168.0,-215.0,1505.0,455.0,59.927906,338288.0,,,,
19946,1580.4736,356.83698,168.0,176.0,1505.0,455.0,60.102154,338304.0,,,,
19947,1581.0688,357.40515,168.0,176.0,1504.0,456.0,60.010967,338321.0,,,,
19948,1581.6641,357.97333,168.0,176.0,1504.0,457.0,59.714817,338340.0,,,,
19949,1582.2593,358.5415,168.0,176.0,1504.0,457.0,60.110195,338355.0,,,,
19950,1582.8545,359.10968,168.0,176.0,1504.0,458.0,60.057156,338371.0,,,,
19951,1583.4497,359.67786,168.0,176.0,1504.0,459.0,59.727577,338390.0,,,,
19952,1584.0449,360.24603,168.0,176.0,1504.0,459.0,60.015015,338405.0,,,,
19953,1584.6401,360.8142,168.0,176.0,1504.0,460.0,60.121796,338421.0,,,,
19954,1585.2354,361.3824,168.0,176.0,1504.0,461.0,60.00888,338438.0,,,,
19955,1585.8306,361.95056,168.0,176.0,1503.0,461.0,60.186234,338454.0,,,,
19956,1586.4258,362.51874,168.0,176.0,1503.0,462.0,60.031017,338472.0,,,,
19957,1587.021,363.0869,168.0,176.0,1503.0,462.0,59.7555,338490.0,,,,
19958,1587.6162,363.6551,168.0,176.0,1503.0,463.0,59.95884,338505.0,,,,
19959,1588.2114,364.22327,168.0,176.0,1503.0,464.0,60.195854,338521.0,,,,
19960,1588.8066,364.79144,168.0,176.0,1503.0,464.0,59.99592,338539.0,,,,
19961,1589.4019,365.35962,168.0,176.0,1503.0,465.0,59.937843,338555.0,,,,
19962,1589.9971,365.9278,168.0,176.0,1503.0,466.0,60.011623,338571.0,,,,
19963,1590.5923,366.49597,168.0,176.0,1502.0,466.0,60.198643,338587.0,,,,
19964,1591.1875,367.06415,168.0,176.0,1502.0,467.0,59.894497,338606.0,,,,
19965,1591.7827,367.63232,168.0,176.0,1502.0,468.0,59.922142,338622.0,,,,
19966,1592.3779,368.2005,168.0,176.0,1502.0,468.0,59.64915,338640.0,,,,
19967,1592.9731,368.76868,168.0,176.0,1502.0,469.0,59.99204,338655.0,,,,
19968,1593.5684,369.33685,168.0,176.0,1502.0,470.0,60.1253,338671.0,,,,
19969,1594.1636,369.90503,168.0,176.0,1502.0,470.0,59.991234,338688.0,,,,
19970,1594.7588,370.4732,168.0,176.0,1502.0,471.0,60.058052,338705.0,,,,
19971,1595.354,371.04138,168.0,176.0,1501.0,472.0,60.206615,338721.0,,,,
19972,1595.9492,371.60956,168.0,176.0,1501.0,472.0,59.7266,338740.0,,,,
19973,1596.5444,372.17773,168.0,176.0,1501.0,473.0,59.9711,338755.0,,,,
19974,1597.1396,372.7459,168.0,176.0,1501.0,474.0,60.12268,338771.0,,,,
19975,1597.7349,373.3141,168.0,176.0,1501.0,474.0,59.73096,338790.0,,,,
19976,1598.3301,373.88226,168.0,176.0,1501.0,475.0,60.128605,338804.0,,,,
19977,1598.9253,374.45044,168.0,176.0,1501.0,476.0,60.11835,338821.0,,,,
19978,1599.5205,375.01862,168.0,176.0,1501.0,476.0,59.730534,338840.0,,,,
19979,1600.1157,375.5868,168.0,176.0,1501.0,477.0,60.16341,338854.0,,,,
19980,1600.7109,376.15497,168.0,176.0,1500.0,477.0,59.760406,338873.0,,,,
19981,1601.3062,376.72314,168.0,176.0,1500.0,478.0,60.172363,338887.0,,,,
19982,1601.9014,377.29132,168.0,176.0,1500.0,479.0,60.133137,338904.0,,,,
19983,1602.4966,377.8595,168.0,176.0,1500.0,479.0,59.991077,338922.0,,,,
19984,1603.0918,378.42767,168.0,176.0,1500.0,480.0,59.74345,338940.0,,,,
19985,1603.687,378.99585,168.0,176.0,1500.0,481.0,60.0065,338955.0,,,,
19986,1604.2822,379.56403,168.0,176.0,1500.0,481.0,60.037376,338971.0,,,,
19987,1604.8774,380.1322,168.0,176.0,1500.0,482.0,59.969093,338988.0,,,,
19988,1605.4727,380.70038,168.0,176.0,1500.0,483.0,60.223343,339004.0,,,,
19989,1606.0679,381.26855,168.0,176.0,1499.0,483.0,59.701687,339023.0,,,,
19990,1606.6631,381.83673,168.0,176.0,1499.0,484.0,60.144093,339038.0,,,,
19991,1607.2583,382.4049,168.0,176.0,1499.0,485.0,60.008656,339055.0,,,,
19992,1607.8535,382.97308,168.0,176.0,1499.0,485.0,60.038174,339072.0,,,,
19993,1608.4487,383.54126,168.0,176.0,1499.0,486.0,59.987514,339089.0,,,,
19994,1609.044,384.10944,168.0,176.0,1499.0,487.0,60.04071,339105.0,,,,
19995,1609.6392,384.6776,168.0,176.0,1499.0,487.0,60.08805,339122.0,,,,
19996,1610.2344,385.2458,168.0,176.0,1499.0,488.0,59.74353,339140.0,,,,
19997,1610.8296,385.81396,168.0,176.0,1498.0,489.0,60.007736,339155.0,,,,
19998,1611.4248,386.38214,168.0,176.0,1498.0,489.0,60.12811,339171.0,,,,
19999,1612.02,386.95032,168.0,176.0,1498.0,490.0,60.004345,339189.0,,,,
20000,1612.6152,387.5185,168.0,176.0,1498.0,490.0,59.99236,339205.0,,,,
20001,1613.2104,388.08667,168.0,176.0,1498.0,491.0,59.9572,339222.0,,,,
20002,1613.8057,388.65485,168.0,176.0,1498.0,492.0,60.145836,339238.0,,,,
20003,1614.4009,389.22302,168.0,176.0,1498.0,492.0,59.766106,339256.0,,,,
20004,1614.9961,389.7912,168.0,176.0,1498.0,493.0,59.929935,339272.0,,,,
20005,1615.5913,390.35938,168.0,176.0,1497.0,494.0,60.228806,339287.0,,,,
20006,1616.1865,390.92755,168.0,176.0,1497.0,494.0,59.98727,339305.0,,,,
20007,1616.7817,391.49573,168.0,176.0,1497.0,495.0,60.195675,339320.0,,,,
20008,1617.377,392.0639,168.0,176.0,1497.0,496.0,59.974754,339339.0,,,,
20009,1617.9722,392.63208,168.0,176.0,1497.0,496.0,59.95145,339356.0,,,,
20010,1618.5674,393.20026,168.0,176.0,1497.0,497.0,59.978935,339372.0,,,,
20011,1619.1626,393.76843,168.0,176.0,1497.0,498.0,59.73813,339390.0,,,,
20012,1619.7578,394.3366,168.0,176.0,1497.0,498.0,60.132935,339405.0,,,,
20013,1620.353,394.9048,168.0,176.0,1496.0,499.0,60.126705,339421.0,,,,
20014,1620.9482,395.47296,168.0,176.0,1496.0,500.0,60.11007,339438.0,,,,
20015,1621.5435,396.04114,168.0,176.0,1496.0,500.0,60.04617,339455.0,,,,
20016,1622.1387,396.6093,168.0,176.0,1496.0,501.0,60.10407,339471.0,,,,
20017,1622.7339,397.1775,168.0,176.0,1496.0,501.0,60.076797,339488.0,,,,
20018,1623.3291,397.74567,168.0,176.0,1496.0,502.0,59.983307,339505.0,,,,
20019,1623.9243,398.31384,168.0,176.0,1496.0,503.0,59.806408,339523.0,,,,
20020,1624.5195,398.88202,168.0,176.0,1496.0,503.0,59.730816,339540.0,,,,
20021,1625.1147,399.4502,168.0,176.0,1495.0,504.0,60.057163,339555.0,,,,
20022,1625.71,400.01837,168.0,176.0,1495.0,505.0,59.985264,339572.0,,,,
20023,1626.3052,400.58655,-163.0,176.0,1495.0,505.0,60.002552,339589.0,,,,
20024,1625.6917,401.15472,-163.0,176.0,1495.0,506.0,60.181076,339604.0,,,,
20025,1625.0781,401.7229,-163.0,176.0,1495.0,507.0,60.197903,339620.0,,,,
20026,1624.4646,402.29108,-163.0,176.0,1495.0,507.0,59.729443,339640.0,,,,
20027,1623.8511,402.85925,-163.0,176.0,1495.0,508.0,59.987778,339655.0,,,,
20028,1623.2375,403.42743,-163.0,176.0,1495.0,509.0,59.932087,339672.0,,,,
20029,1622.624,403.9956,-163.0,176.0,1495.0,509.0,59.99658,339688.0,,,,
20030,1622.0105,404.56378,-163.0,176.0,1494.0,510.0,60.0655,339705.0,,,,
20031,1621.397,405.13196,-163.0,176.0,1494.0,511.0,59.997116,339722.0,,,,
20032,1620.7834,405.70013,-163.0,176.0,1494.0,511.0,60.066704,339738.0,,,,
20033,1620.1699,406.2683,-163.0,176.0,1494.0,512.0,60.008575,339755.0,,,,
20034,1619.5564,406.8365,-163.0,176.0,1494.0,513.0,60.057625,339772.0,,,,
20035,1618.9429,407.40466,-163.0,176.0,1494.0,513.0,59.75364,339790.0,,,,
20036,1618.3293,407.97284,-163.0,176.0,1494.0,514.0,60.008617,339805.0,,,,
20037,1617.7158,408.54102,-163.0,176.0,1494.0,515.0,59.767857,339823.0,,,,
20038,1617.1023,409.1092,-163.0,176.0,1494.0,515.0,60.00387,339839.0,,,,
20039,1616.4888,409.67737,-163.0,176.0,1494.0,516.0,59.97288,339856.0,,,,
20040,1615.8752,410.24554,-163.0,176.0,1494.0,517.0,60.116287,339871.0,,,,
20041,1615.2617,410.81372,-163.0,176.0,1493.0,517.0,60.005917,339889.0,,,,
20042,1614.6482,411.3819,-163.0,176.0,1493.0,518.0,59.967926,339906.0,,,,
20043,1614.0347,411.95007,-163.0,176.0,1493.0,519.0,60.041122,339922.0,,,,
20044,1613.4211,412.51825,-163.0,176.0,1493.0,519.0,59.585823,339940.0,,,,
20045,1612.8076,413.08643,-163.0,176.0,1493.0,520.0,60.0677,339954.0,,,,
20046,1612.1941,413.6546,-163.0,176.0,1493.0,521.0,60.06943,339971.0,,,,
20047,1611.5806,414.22278,-163.0,176.0,1493.0,521.0,59.77324,339989.0,,,,
20048,1610.967,414.79095,-163.0,176.0,1493.0,522.0,60.042294,340005.0,,,,
20049,1610.3535,415.35913,-163.0,176.0,1493.0,523.0,60.237423,340020.0,,,,
20050,1609.74,415.9273,-163.0,176.0,1493.0,523.0,60.004566,340039.0,,,,
20051,1609.1265,416.49548,-163.0,176.0,1493.0,524.0,60.0535,340056.0,,,,
20052,1608.513,417.06366,-163.0,176.0,1493.0,525.0,60.056927,340072.0,,,,
20053,1607.8994,417.63184,-163.0,176.0,1492.0,525.0,60.127846,340088.0,,,,
20054,1607.2859,418.2,-163.0,176.0,1492.0,526.0,60.052258,340105.0,,,,
20055,1606.6724,418.7682,-163.0,176.0,1492.0,527.0,60.0353,340122.0,,,,
20056,1606.0588,419.33636,-163.0,176.0,1492.0,527.0,59.74598,340140.0,,,,
20057,1605.4453,419.90454,-163.0,176.0,1492.0,528.0,59.94083,340155.0,,,,
20058,1604.8318,420.47272,-163.0,176.0,1492.0,529.0,60.183823,340171.0,,,,
20059,1604.2183,421.0409,-163.0,176.0,1492.0,529.0,59.997215,340189.0,,,,
20060,1603.6047,421.60907,-163.0,176.0,1492.0,530.0,59.973953,340206.0,,,,
20061,1602.9912,422.17725,-163.0,176.0,1492.0,531.0,59.76065,340223.0,,,,
20062,1602.3777,422.74542,-163.0,176.0,1492.0,531.0,60.02995,340238.0,,,,
20063,1601.7642,423.3136,-163.0,176.0,1492.0,532.0,60.039192,340255.0,,,,
20064,1601.1506,423.88177,-163.0,176.0,1492.0,533.0,60.052025,340271.0,,,,
20065,1600.5371,424.44995,-163.0,176.0,1492.0,533.0,59.76491,340290.0,,,,
20066,1599.9236,425.01813,-163.0,176.0,1492.0,534.0,59.75798,340307.0,,,,
20067,1599.31,425.5863,-163.0,176.0,1491.0,535.0,60.06516,340322.0,,,,
20068,1598.6965,426.15448,-163.0,176.0,1491.0,535.0,60.174995,340337.0,,,,
20069,1598.083,426.72266,-163.0,176.0,1491.0,536.0,59.98591,340356.0,,,,
20070,1597.4695,427.29083,-163.0,176.0,1491.0,537.0,59.974358,340373.0,,,,
20071,1596.856,427.859,-163.0,176.0,1491.0,537.0,60.156082,340388.0,,,,
20072,1596.2424,428.4272,-163.0,176.0,1491.0,538.0,59.93321,340406.0,,,,
20073,1595.6289,428.99536,-163.0,176.0,1491.0,539.0,60.05945,340422.0,,,,
20074,1595.0154,429.56354,-163.0,176.0,1491.0,540.0,60.02055,340438.0,,,,
20075,1594.4019,430.1317,-163.0,176.0,1491.0,540.0,59.783466,340457.0,,,,
20076,1593.7883,430.6999,-163.0,176.0,1491.0,541.0,59.979843,340472.0,,,,
20077,1593.1748,431.26807,-163.0,176.0,1491.0,542.0,60.035213,340488.0,,,,
20078,1592.5613,431.83624,-163.0,176.0,1491.0,542.0,59.98709,340506.0,,,,
20079,1591.9478,432.40442,-163.0,176.0,1491.0,543.0,60.02672,340522.0,,,,
20080,1591.3342,432.9726,-163.0,176.0,1491.0,544.0,60.021103,340539.0,,,,
20081,1590.7207,433.54077,-163.0,176.0,1490.0,544.0,59.98948,340556.0,,,,
20082,1590.1072,434.10895,-163.0,176.0,1490.0,545.0,59.90531,340573.0,,,,
20083,1589.4937,434.67712,-163.0,176.0,1490.0,546.0,60.027283,340589.0,,,,
20084,1588.8801,435.2453,-163.0,176.0,1490.0,546.0,60.15451,340604.0,,,,
20085,1588.2666,435.81348,-163.0,176.0,1490.0,547.0,60.055996,340621.0,,,,
20086,1587.6531,436.38165,-163.0,176.0,1490.0,548.0,59.77116,340640.0,,,,
20087,1587.0396,436.94983,-163.0,176.0,1490.0,548.0,60.1529,340655.0,,,,
20088,1586.426,437.518,-163.0,176.0,1490.0,549.0,59.788532,340673.0,,,,
20089,1585.8125,438.08618,-163.0,176.0,1490.0,550.0,60.016132,340689.0,,,,
20090,1585.199,438.65436,-163.0,176.0,1490.0,550.0,60.15896,340705.0,,,,
20091,1584.5854,439.22253,-163.0,176.0,1490.0,551.0,60.098618,340721.0,,,,
20092,1583.9719,439.7907,-163.0,176.0,1490.0,552.0,60.13897,340738.0,,,,
20093,1583.3584,440.3589,-163.0,176.0,1490.0,552.0,60.0203,340755.0,,,,
20094,1582.7449,440.92706,-163.0,176.0,1490.0,553.0,60.042957,340771.0,,,,
20095,1582.1313,441.49524,-163.0,176.0,1490.0,554.0,60.02724,340789.0,,,,
20096,1581.5178,442.06342,-163.0,176.0,1490.0,554.0,60.016262,340805.0,,,,
20097,1580.9043,442.6316,-163.0,176.0,1490.0,555.0,59.750313,340824.0,,,,
20098,1580.2908,443.19977,-163.0,176.0,1489.0,556.0,60.144505,340838.0,,,,
20099,1579.6772,443.76794,-163.0,176.0,1489.0,557.0,59.964115,340856.0,,,,
20100,1579.0637,444.33612,-163.0,176.0,1489.0,557.0,60.066113,340872.0,,,,
20101,1578.4502,444.9043,-163.0,176.0,1489.0,558.0,60.029327,340889.0,,,,
20102,1577.8367,445.47247,-163.0,176.0,1489.0,559.0,60.13185,340904.0,,,,
20103,1577.2231,446.04065,-163.0,176.0,1489.0,559.0,60.0527,340922.0,,,,
20104,1576.6096,446.60883,-163.0,176.0,1489.0,560.0,59.750946,340940.0,,,,
20105,1575.9961,447.177,-163.0,176.0,1489.0,561.0,60.01643,340955.0,,,,
20106,1575.3826,447.74518,-163.0,176.0,1489.0,561.0,60.00222,340972.0,,,,
20107,1574.769,448.31335,-163.0,176.0,1489.0,562.0,59.76491,340990.0,,,,
20108,1574.1555,448.88153,-163.0,176.0,1489.0,563.0,60.15314,341004.0,,,,
20109,1573.542,449.4497,-163.0,176.0,1489.0,563.0,59.70722,341024.0,,,,
20110,1572.9285,450.01788,-163.0,176.0,1489.0,564.0,60.167088,341038.0,,,,
20111,1572.315,450.58606,-163.0,176.0,1489.0,565.0,59.797897,341056.0,,,,
20112,1571.7014,451.15424,-163.0,176.0,1489.0,566.0,60.051373,341072.0,,,,
20113,1571.0879,451.7224,-163.0,176.0,1489.0,566.0,59.720974,341090.0,,,,
20114,1570.4744,452.2906,-163.0,176.0,1489.0,567.0,59.79429,341107.0,,,,
20115,1569.8608,452.85876,-163.0,176.0,1489.0,568.0,60.121017,341121.0,,,,
20116,1569.2473,453.42694,-163.0,176.0,1489.0,568.0,60.036354,341139.0,,,,
20117,1568.6338,453.99512,-163.0,176.0,1488.0,569.0,60.175156,341155.0,,,,
20118,1568.0203,454.5633,-163.0,176.0,1488.0,570.0,60.084698,341172.0,,,,
20119,1567.4067,455.13147,-163.0,176.0,1488.0,570.0,60.164047,341188.0,,,,
20120,1566.7932,455.69965,-163.0,176.0,1488.0,571.0,60.15301,341204.0,,,,
20121,1566.1797,456.26782,-163.0,176.0,1488.0,572.0,59.800667,341223.0,,,,
