frame,x,y,IOIx,IOIy,frameRate,time,W = 1920,H = 1080,taps = 2
62388,187.81577,322.25537,-313.5,159.5,60.10883,1041648.0,,,
62389,187.49678,322.88232,-313.5,159.5,60.229893,1041664.0,,,
62390,187.1778,323.50928,-313.5,159.5,60.108044,1041682.0,,,
62391,186.85881,324.13623,-313.5,159.5,59.915264,1041699.0,,,
62392,186.53983,324.76318,-313.5,159.5,59.75275,1041718.0,,,
62393,186.22084,325.39014,-313.5,159.5,60.148006,1041731.0,,,
62394,185.90186,326.0171,-313.5,159.5,60.042744,1041749.0,,,
62395,185.58287,326.64404,-313.5,159.5,60.0007,1041767.0,,,
62396,185.26389,327.271,-313.5,159.5,59.186504,1041787.0,,,
62397,184.9449,327.89795,-313.5,159.5,59.96602,1041799.0,,,
62398,184.62592,328.5249,-313.5,159.5,59.85309,1041818.0,,,
62399,184.30693,329.15186,-313.5,159.5,60.05603,1041832.0,,,
62400,183.98795,329.7788,-313.5,159.5,60.104385,1041849.0,,,
62401,183.66896,330.40576,-313.5,159.5,60.259315,1041864.0,,,
62402,183.34998,331.0327,-313.5,159.5,60.036057,1041882.0,,,
62403,183.03099,331.65967,-313.5,159.5,59.9526,1041899.0,,,
62404,182.712,332.28662,-313.5,159.5,59.78974,1041917.0,,,
62405,182.39302,332.91357,-313.5,159.5,60.17331,1041932.0,,,
62406,182.07404,333.54053,-313.5,159.5,59.921715,1041950.0,,,
62407,181.75505,334.16748,-313.5,159.5,60.09493,1041965.0,,,
62408,181.43607,334.79443,-313.5,159.5,60.174908,1041981.0,,,
62409,181.11708,335.4214,-313.5,159.5,60.131817,1041998.0,,,
62410,180.7981,336.04834,-313.5,159.5,60.037724,1042016.0,,,
62411,180.47911,336.6753,-313.5,159.5,60.194042,1042031.0,,,
62412,180.16013,337.30225,-313.5,159.5,60.111732,1042048.0,,,
62413,179.84114,337.9292,-313.5,159.5,60.237488,1042064.0,,,
62414,179.52216,338.55615,-313.5,159.5,59.97217,1042082.0,,,
62415,179.20317,339.1831,-313.5,159.5,60.026478,1042099.0,,,
62416,178.88419,339.81006,-313.5,159.5,60.05007,1042117.0,,,
62417,178.5652,340.437,-313.5,159.5,60.091293,1042132.0,,,
62418,178.24622,341.06396,-313.5,159.5,60.074913,1042148.0,,,
62419,177.92723,341.69092,-313.5,159.5,60.00206,1042166.0,,,
