frame,x,y,IOIx,IOIy,frameRate,time,W = 1920,H = 1080,taps = 3
1438,0.9199994,0.9199994,10000.0,10000.0,59.793743,25697.0,,,
1439,0.9299994,0.9299994,10000.0,10000.0,60.1103,25712.0,,,
1440,0.9399994,0.9399994,10000.0,10000.0,59.87271,25730.0,,,
1441,0.9499994,0.9499994,10000.0,10000.0,60.18196,25745.0,,,
1442,0.9599994,0.9599994,10000.0,10000.0,59.94589,25763.0,,,
1443,0.9699994,0.9699994,10000.0,10000.0,60.077866,25779.0,,,
1444,0.97999936,0.97999936,10000.0,10000.0,59.83494,25797.0,,,
1445,0.98999935,0.98999935,10000.0,10000.0,59.974457,25813.0,,,
1446,0.99999934,0.99999934,10000.0,10000.0,59.918102,25830.0,,,
1447,1.0099994,1.0099994,10000.0,10000.0,60.05146,25846.0,,,
1448,1.0199994,1.0199994,10000.0,10000.0,60.08514,25863.0,,,
1449,1.0299994,1.0299994,10000.0,10000.0,60.026974,25880.0,,,
1450,1.0399994,1.0399994,10000.0,10000.0,59.96655,25896.0,,,
1451,1.0499994,1.0499994,10000.0,10000.0,60.10509,25912.0,,,
1452,1.0599993,1.0599993,10000.0,10000.0,60.04726,25929.0,,,
1453,1.0699993,1.0699993,10000.0,10000.0,60.160576,25945.0,,,
1454,1.0799993,1.0799993,10000.0,10000.0,59.74018,25964.0,,,
1455,1.0899993,1.0899993,10000.0,10000.0,60.059105,25979.0,,,
1456,1.0999993,1.0999993,10000.0,10000.0,60.06348,25996.0,,,
1457,1.1099993,1.1099993,10000.0,10000.0,60.10504,26012.0,,,
1458,1.1199993,1.1199993,10000.0,10000.0,60.051846,26029.0,,,
1459,1.1299993,1.1299993,10000.0,10000.0,59.804523,26047.0,,,
1460,1.1399993,1.1399993,10000.0,10000.0,59.941917,26063.0,,,
1461,1.1499993,1.1499993,10000.0,10000.0,59.892574,26080.0,,,
1462,1.1599993,1.1599993,10000.0,10000.0,59.714565,26098.0,,,
1463,1.1699992,1.1699992,10000.0,10000.0,60.034058,26113.0,,,
1464,1.1799992,1.1799992,10000.0,10000.0,59.971504,26130.0,,,
1465,1.1899992,1.1899992,10000.0,10000.0,59.93392,26147.0,,,
1466,1.1999992,1.1999992,10000.0,10000.0,60.05519,26163.0,,,
1467,1.2099992,1.2099992,10000.0,10000.0,60.000034,26180.0,,,
1468,1.2199992,1.2199992,10000.0,10000.0,59.952618,26197.0,,,
1469,1.2299992,1.2299992,10000.0,10000.0,60.07914,26213.0,,,
1470,1.2399992,1.2399992,10000.0,10000.0,59.658516,26232.0,,,
1471,1.2499992,1.2499992,10000.0,10000.0,59.981373,26247.0,,,
